S/N,Code,Description,Table,Classification,Cleaned_Description
78,SF704B,"BILE DUCTS, VARIOUS LESIONS, CHECK CHOLANGIOGRAM",1A,Existing,bile duct various lesion check cholangiogram
79,SF705B,"BILE DUCTS, VARIOUS LESIONS, PERCUTANEOUS TRANSHEPATIC CHOLANGIOGRAPHY (PTC)",2C,Existing,bile duct various lesion percutaneous transhepatic cholangiography ptc
80,SF706B,"BILE DUCTS, VARIOUS LESIONS, PERCUTANEOUS TRANSHEPATIC CHOLANGIOGRAPHY AND DRAINAGE CATHETER INSERTION (PTC AND DRAINAGE)",3A,Existing,bile duct various lesion percutaneous transhepatic cholangiography drainage catheter insertion ptc drainage
81,SF707B,"BILE DUCT/GALL BLADDER, ENDOSCOPIC DILATION OF BILIARY STRICTURE",3C,Existing,bile ductgall bladder endoscopic dilation biliary stricture
82,SF709B,"BILE DUCT/GALL BLADDER, ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP) WITH INSERTION OF NASOBILIARY DRAIN",3C,Existing,bile ductgall bladder endoscopic retrograde cholangiopancreatography ercp insertion nasobiliary drain
83,SF710B,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP) WITH SPHINCTEROTOMY/REMOVAL OF STONE/INSERTION OF BILIARY STENT,3C,Existing,endoscopic retrograde cholangiopancreatography ercp sphincterotomyremoval stoneinsertion biliary stent
84,SF711B,"BILE DUCT, ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP)",3A,Existing,bile duct endoscopic retrograde cholangiopancreatography ercp
85,SF712B,"BILE DUCT/GALL BLADDER, ENDOSCOPY, ENDOSCOPIC SPHINCTEROTOMY +/- EXTRACTION OF  STONE",3C,Existing,bile ductgall bladder endoscopy endoscopic sphincterotomy extraction stone
86,SF713B,"BILE DUCTS, STONES, PERCUTANEOUS TRANSHEPATIC BILIARY STONES REMOVAL",3B,Existing,bile duct stone percutaneous transhepatic biliary stone removal
87,SF714B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED BALLOON DILATATION",2C,Existing,bowel esophagus stomach duodenum colon rectum stricture imaging guided balloon dilatation
88,SF715B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED STENT PLACEMENT",2C,Existing,bowel esophagus stomach duodenum colon rectum stricture imaging guided stent placement
89,SF716B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH COELIAC AXIS NEUROLYSIS",3A,Existing,bowel endoscopic ultrasound coeliac axis neurolysis
90,SF717B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH FINE NEEDLE ASPIRATION",3A,Existing,bowel endoscopic ultrasound fine needle aspiration
91,SF718B,"BOWELS, ENDOSCOPIC ULTRASOUND WITHOUT FINE NEEDLE ASPIRATION",2C,Existing,bowel endoscopic ultrasound without fine needle aspiration
92,SF719B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH PSEUDOCYST DRAINAGE",3C,Existing,bowel endoscopic ultrasound pseudocyst drainage
93,SF720B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH STENT INSERTION",3C,Existing,bowel endoscopic ultrasound stent insertion
94,SF800B,"BILE DUCT, BILIARY ATRESIA, PORTO-ENTEROSTOMY",6B,Existing,bile duct biliary atresia portoenterostomy
95,SF801B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHO- DUODENOSTOMY/CHOLEDOCHO-GASTROSTOMY",4A,Existing,bile duct various lesion choledocho duodenostomycholedochogastrostomy
96,SF802B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHO- JEJUNOSTOMY",4C,Existing,bile duct various lesion choledocho jejunostomy
97,SF803B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHOTOMY (EXPLORATION COMMON BILE DUCT ONLY)",4C,Existing,bile duct various lesion choledochotomy exploration common bile duct
98,SF804B,"BILE DUCT, VARIOUS LESIONS. HEPATICOJEJUNOSTOMY UP TO BUT NOT INCLUDING THE CONFLUENCE OF THE HEPATIC DUCTS",5C,Existing,bile duct various lesion hepaticojejunostomy including confluence hepatic duct
99,SF805B,"BILE DUCT, VARIOUS LESIONS, OPERATIVE CHOLEDOCHOSCOPY",1B,Existing,bile duct various lesion operative choledochoscopy
100,SF806B,"BILE DUCT, VARIOUS LESIONS, REVISION HIGH BILIARY STRICTURE/ RADICAL RESECTION",7C,Existing,bile duct various lesion revision high biliary stricture radical resection
101,SF807B,"BILE DUCT, VARIOUS LESIONS, TRANSDUODENAL SPHINCTEROPLASTY/ SPHINCTEROTOMY",5C,Existing,bile duct various lesion transduodenal sphincteroplasty sphincterotomy
102,SF808B,"BILE DUCT, VARIOUS LESIONS, HEPATICOJEJUNOSTOMY INVOLVING ANASTOMOSIS TO HEPATIC DUCTS BUT WITHOUT LIVER RESECTION",6A,Existing,bile duct various lesion hepaticojejunostomy involving anastomosis hepatic duct without liver resection
103,SF700C,CAPSULE ENDOSCOPY,3A,Existing,capsule endoscopy
104,SF701C,"COLON, ANTERIOR RESECTION",6C,Descriptor change,colon anterior resection
105,SF702C,"COLON, COLONOSCOPY, FIBREOPTIC WITH/WITHOUT BIOPSY",2C,Existing,colon colonoscopy fibreoptic withwithout biopsy
106,SF703C,"COLON, COLONOSCOPY (SCREENING), FIBREOPTIC WITH/WITHOUT BIOPSY",2C,Existing,colon colonoscopy screening fibreoptic withwithout biopsy
107,SF704C,"COLON, COLONOSCOPY, FIBREOPTIC WITH REMOVAL OF POLYP (SINGLE OR MULTIPLE LESS THAN 1CM)7",3A,"Descriptor
change",colon colonoscopy fibreoptic removal polyp single multiple le 1cm7
108,SF705C,"COLON, COLONOSCOPY, FIBREOPTIC WITH REMOVAL OF POLYPS (MULTIPLE MORE THAN 1CM)",3B,Existing,colon colonoscopy fibreoptic removal polyp multiple 1cm
109,SF706C,"COLON, COLONOSCOPY (SCREENING), FIBREOPTIC WITH REMOVAL OF POLYP (SINGLE OR MULTIPLE LESS THAN 1CM)",3A,Existing,colon colonoscopy screening fibreoptic removal polyp single multiple le 1cm
110,SF707C,"COLON, COLONOSCOPY (SCREENING), FIBREOPTIC WITH REMOVAL OF POLYPS (MULTIPLE MORE THAN 1CM)",3B,Existing,colon colonoscopy screening fibreoptic removal polyp multiple 1cm
111,SF708C,"COLON, COLONOSCOPY WITH ENDOSCOPIC MUCOSAL RESECTION (EMR) OF LARGE POLYPS (>3CM)",3C,Existing,colon colonoscopy endoscopic mucosal resection emr large polyp 3cm
112,SF709C,"COLON, HIRSCHSPRUNG’S DISEASE, ENDORECTAL PULLTHROUGH (MIS)",5B,Existing,colon hirschsprung disease endorectal pullthrough mi
113,SF710C,"COLON, SIGMOID, SIGMOIDOSCOPY (FLEXIBLE), FIBREOPTIC WITH/WITHOUT BIOPSY",1B,Existing,colon sigmoid sigmoidoscopy flexible fibreoptic withwithout biopsy
114,SF711C,"COLON, SIGMOID, SIGMOIDOSCOPY WITH POLYPECTOMY WITH BIOPSY",1C,Existing,colon sigmoid sigmoidoscopy polypectomy biopsy
115,SF712C,"COLON, TOTAL COLECTOMY / SUBTOTAL COLECTOMY",6A,Existing,colon total colectomy subtotal colectomy
116,SF713C,"COLON, TOTAL PROCTOCOLECTOMY & ILEO-ANAL POUCH RECONSTRUCTION",6C,Existing,colon total proctocolectomy ileoanal pouch reconstruction
117,SF714C,"COLON, HIRSCHSPRUNG'S DISEASE, PULLTHROUGH FOR LONG SEGMENT DISEASE",6A,Descriptor change,colon hirschsprung disease pullthrough long segment disease
118,SF800C,"COLON, COLOSTOMY, CLOSURE WITHOUT RESECTION OF BOWEL",4A,Existing,colon colostomy closure without resection bowel
119,SF802C,"COLON, VARIOUS LESIONS, COLOSTOMY",4A,Existing,colon various lesion colostomy
120,SF803C,"COLON, VARIOUS LESIONS, RIGHT/LEFT HEMICOLECTOMY",5C,Descriptor change,colon various lesion rightleft hemicolectomy
121,SF804C,"COLON, VARIOUS LESIONS, TOTAL COLECTOMY WITH ILEORECTAL ANASTOMOSIS/ILEOSTOMY",6A,Existing,colon various lesion total colectomy ileorectal anastomosisileostomy
122,SF805C,"COLON, VARIOUS LESIONS, TOTAL PROCTO-COLECTOMY AND ILEOSTOMY",6B,Existing,colon various lesion total proctocolectomy ileostomy
123,SF806C,"COLON, VARIOUS LESIONS, TRANVERSE/SIGMOID COLECTOMY",5C,"Descriptor
change",colon various lesion tranversesigmoid colectomy
124,SF807C,"COLON, COLONOSCOPY WITH ENDOSCOPIC SUBMUCOSAL DISSECTION (ESD) OF LARGE POLYPS (>3CM)",4A,Existing,colon colonoscopy endoscopic submucosal dissection esd large polyp 3cm
125,SF700D,"BOWELS, SINGLE/DOUBLE BALLOON ENTEROSCOPY, DIAGNOSTIC",3A,Existing,bowel singledouble balloon enteroscopy diagnostic
126,SF701D,"BOWELS, SINGLE/DOUBLE BALLOON ENTEROSCOPY, THERAPEUTIC",3C,Existing,bowel singledouble balloon enteroscopy therapeutic
127,SF702D,"DUODENUM, TUMOUR, PANCREAS PRESERVING DUODENECTOMY WITH RECONSTRUCTION OF AMPULLA",7C,Existing,duodenum tumour pancreas preserving duodenectomy reconstruction ampulla
128,SF800D,"DIAPHRAGM, DIAPHRAGMATIC/HIATUS HERNIA, REPAIR",4A,Descriptor change,diaphragm diaphragmatichiatus hernia repair
129,SF801D,"DUODENUM, VARIOUS LESIONS, GASTROENTEROSTOMY/GASTRODUODENOSTOMY",4A,Existing,duodenum various lesion gastroenterostomygastroduodenostomy
130,SF802D,"DUODENUM, TRAUMA, BYPASS OPERATION",5A,Existing,duodenum trauma bypass operation
131,SF803D,"DUODENUM, TUMOR, PANCREATICO-DUODENECTOMY",7C,Existing,duodenum tumor pancreaticoduodenectomy
132,SF804D,"DUODENUM, ULCER, PARTIAL GASTRECTOMY",5C,Existing,duodenum ulcer partial gastrectomy
133,SF805D,"DUODENUM, ULCER, VAGOTOMY - ALL TYPES",5C,Existing,duodenum ulcer vagotomy type
134,SF700E,"ESOPHAGUS/STOMACH, GASTROSCOPY AND DILATATION",3A,Existing,esophagusstomach gastroscopy dilatation
135,SF702E,"ESOPHAGUS, DIVERTICULUM, EXCISION",5B,Descriptor change,esophagus diverticulum excision
136,SF703E,"ESOPHAGUS, MOTILITY DISORDER, LONG MYOTOMY",4B,Descriptor change,esophagus motility disorder long myotomy
137,SF704E,"ESOPHAGUS/STOMACH/COLON, GASTROINTESTINAL ENDOSCOPY, ABLATIVE TREATMENT",3A,Existing,esophagusstomachcolon gastrointestinal endoscopy ablative treatment
138,SF705E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH ENDOSCOPIC SUBMUCOSAL DISSECTION",3C,Existing,esophagusintestinestomach upper gi endoscopy endoscopic submucosal dissection
139,SF800E,"ESOPHAGUS, ACHALASIA, CARDIOMYOTOMY",4A,Descriptor change,esophagus achalasia cardiomyotomy
140,SF801E,"ESOPHAGUS, ATRESIA, REPAIR AND ANASTOMOSIS",6B,Existing,esophagus atresia repair anastomosis
141,SF802E,"ESOPHAGUS, BENIGN TUMOUR, RESECTION",5B,"Descriptor
change",esophagus benign tumour resection
142,SF803E,"ESOPHAGUS, STRICTURE, DILATATION (ENDOSCOPIC)",2B,Existing,esophagus stricture dilatation endoscopic
143,SF804E,"ESOPHAGUS, TUMOR, ALLISON/IVOR-LEWIS OPERATION",6B,Existing,esophagus tumor allisonivorlewis operation
144,SF805E,"ESOPHAGUS, TUMOR, BYPASS WITH STOMACH/INTESTINE",5C,Descriptor change,esophagus tumor bypass stomachintestine
145,SF806E,"ESOPHAGUS, TUMOR, CERVICAL/LARYNGOPHARYNGECTOMY WITH TRACHEOSTOMY WITH/WITHOUT PLASTIC RECONSTRUCTION",7C,Existing,esophagus tumor cervicallaryngopharyngectomy tracheostomy withwithout plastic reconstruction
146,SF807E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GL ENDOSCOPY WITH INSERTION OF PROSTHESIS",3A,Existing,esophagusintestinestomach upper gl endoscopy insertion prosthesis
147,SF808E,"ESOPHAGUS/STOMACH, GASTROSCOPY WITH THERAPY EG. APC-FULGARISATION OF TUMOR",3A,Existing,esophagusstomach gastroscopy therapy eg apcfulgarisation tumor
148,SF809E,"ESOPHAGUS, TUMOR, TOTAL ESOPHAGECTOMY",7B,Existing,esophagus tumor total esophagectomy
149,SF810E,"ESOPHAGUS, VARICES, ESOPHAGEAL/TRANSECTION WITH SPLENECTOMY",6B,Existing,esophagus varix esophagealtransection splenectomy
150,SF811E,"ESOPHAGUS, VARICES, GASTRO ESOPHAGEAL DEVASCULARISATION WITH ESOPHAGEAL TRANSECTION",6B,Existing,esophagus varix gastro esophageal devascularisation esophageal transection
151,SF812E,"ESOPHAGUS, VARIOUS LESIONS, CERVICAL ESOPHAGOSTOMY",3A,Existing,esophagus various lesion cervical esophagostomy
152,SF813E,"ESOPHAGUS/INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH COMPLICATED POLYPECTOMY (E.G. LARGE POLYP REQUIRING MULTIPLE PIECEMEAL RESECTIONS, MULTIPLE POLYPS >2, OR POLYPS WITH COMPLICATIONS SUCH AS BLEEDING) OR ENDOSCOPIC MUCOSAL RESECTION",3A,Existing,esophagusintestinestomach upper gi endoscopy complicated polypectomy eg large polyp requiring multiple piecemeal resection multiple polyp 2 polyp complication bleeding endoscopic mucosal resection
153,SF700G,"GALLBLADDER, CHOLECYSTITIS, IMAGING GUIDED PERCUTANEOUS CHOLECYSTOSTOMY",2C,Existing,gallbladder cholecystitis imaging guided percutaneous cholecystostomy
154,SF701G,"GALLBLADDER, TUMOUR, RADICAL CHOLECYSTECTOMY WITH SEGMENT 4B AND 5 LIVER RESECTION AND RADICAL LYMPHADENECTOMY",6C,Existing,gallbladder tumour radical cholecystectomy segment 4b 5 liver resection radical lymphadenectomy
155,SF702G,"GALLBLADDER, TUMOUR, RADICAL CHOLECYSTECTOMY WITH SEGMENT 4B AND 5 LIVER RESECTION AND RADICAL LYMPHADENECTOMY AND CHOLEDOCHECTOMY WITH HEPATICO-ENTERIC ANASTOMOSIS",7A,Existing,gallbladder tumour radical cholecystectomy segment 4b 5 liver resection radical lymphadenectomy choledochectomy hepaticoenteric anastomosis
156,SF703G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY AND REPAIR OF CHOLECYSTO-ENTERIC/ CHOLECYSTO- CHOLEDOCHAL FISTULA",6A,Descriptor change,gallbladder various lesion cholecystectomy repair cholecystoenteric cholecysto choledochal fistula
157,SF704G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY WITH INTRAOPERATIVE CHOLANGIOGRAM",4B,Descriptor change,gallbladder various lesion cholecystectomy intraoperative cholangiogram
158,SF705G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY AND TRANSCYSTIC COMMON BILE DUCT EXPLORATION",5A,"Descriptor
change",gallbladder various lesion cholecystectomy transcystic common bile duct exploration
159,SF706G,GALLBLADDER (COMPLICATED) CHOLECYESTECTOMY (PARTIAL/TOTAL),4C,Descriptor change,gallbladder complicated cholecyestectomy partialtotal
160,SF707G,"GALLBLADDER, VARIOUS LESIONS,  CHOLECYSTECTOMY, CHOLEDOCHOTOMY, COMMON BILE DUCT EXPLORATION WITH CHOLEDOCHO-DUODENOSTOMY",5C,Descriptor change,gallbladder various lesion cholecystectomy choledochotomy common bile duct exploration choledochoduodenostomy
161,SF708G,RADICAL CHOLEDOCHECTOMY WITH LIVER RESECTION (LESS THAN 4 SEGMENTS),7A,Existing,radical choledochectomy liver resection le 4 segment
162,SF709G,RADICAL CHOLEDOCHECTOMY WITH LIVER RESECTIONS (4 OR MORE SEGMENTS) OR WITH MULTIPLE HEPATICOENTERIC ANASTOMOSIS,7C,Existing,radical choledochectomy liver resection 4 segment multiple hepaticoenteric anastomosis
163,SF800G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTOSTOMY",3B,Descriptor change,gallbladder various lesion cholecystostomy
164,SF801G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY (PARTIAL/TOTAL)",4A,"Descriptor
change",gallbladder various lesion cholecystectomy partialtotal
165,SF802G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY AND CHOLEDOCHO- JEJUNOSTOMY/DUODENOSTOMY/GASTROSTOMY",5C,Existing,gallbladder various lesion cholecystectomy choledocho jejunostomyduodenostomygastrostomy
166,SF803G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTO- DUODENOSTOMY/CHOLECYSTO- GASTRECTOMY/CHOLECYSTO-JEJUNOSTOMY",4A,Existing,gallbladder various lesion cholecysto duodenostomycholecysto gastrectomycholecystojejunostomy
167,SF700I,"OESOPHAGUS/STOMACH, UPPER GI ENDOSCOPY WITH POLYPECTOMY/ REMOVAL OF FOREIGN BODY/DIATHERMY OF BLEEDING LESIONS / INJECTION OF VARICES /  REMOVAL OF SINGLE POLYP",2C,Descriptor change,oesophagusstomach upper gi endoscopy polypectomy removal foreign bodydiathermy bleeding lesion injection varix removal single polyp
168,SF701I,"INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH/WITHOUT BIOPSY8",1B,Existing,intestinestomach upper gi endoscopy withwithout biopsy8
169,SF702I,"INTESTINE, BLEEDING GIT, MESENTERIC ARTERY EMBOLISATION",4B,Existing,intestine bleeding git mesenteric artery embolisation
170,SF703I,"INTESTINE, SMALL BOWEL, ILEOSTOMY STENOSIS, REVISION",3A,Existing,intestine small bowel ileostomy stenosis revision
171,SF704I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, ENTEROSTOMY",4A,Existing,intestine small bowel various lesion enterostomy
172,SF705I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, INTUBATION WITH/WITHOUT BIOPSY",1B,Existing,intestine small bowel various lesion intubation withwithout biopsy
173,SF706I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, EXTENSIVE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4C,Descriptor change,intestine small bowel various lesion extensive resection anastomosis without stoma
174,SF707I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, SIMPLE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4A,Descriptor change,intestine small bowel various lesion simple resection anastomosis without stoma
175,SF708I,"INTESTINE, SMALL BOWEL, VITELLO-INTESTINAL FISTULA, EXCISION",3A,Existing,intestine small bowel vitellointestinal fistula excision
176,SF800I,"INTESTINE, ENTEROSTOMY, CLOSURE",3B,Existing,intestine enterostomy closure
177,SF801I,"INTESTINE, INTUSSUSCEPTION, REDUCTION",3B,Descriptor change,intestine intussusception reduction
178,SF802I,"INTESTINE, INTUSSUSCEPTION, REDUCTION BY FLUID",2A,Existing,intestine intussusception reduction fluid
179,SF803I,"INTESTINE, INTUSSUSCEPTION, RESECTION",4A,Existing,intestine intussusception resection
180,SF804I,"INTESTINE, TOTAL AGANGLIONOSIS, RECONSTRUCTION",6B,Existing,intestine total aganglionosis reconstruction
181,SF805I,"INTESTINE, MECKEL'S DIVERTICULUM, VARIOUS LESIONS, RESECTION",3B,Descriptor change,intestine meckels diverticulum various lesion resection
182,SF700L,"LIVER TRANSPLANT, DONATION (CADAVERIC DONOR)",5C,Existing,liver transplant donation cadaveric donor
183,SF701L,"LIVER TRANSPLANT, DONATION (LIVE DONOR)",6B,Existing,liver transplant donation live donor
184,SF702L,"LIVER TRANSPLANT, RECIPIENT",7C,Existing,liver transplant recipient
185,SF703L,"LIVER, ABSCESS, IMAGING GUIDED PERCUTANEOUS ASPIRATION",2A,Existing,liver abscess imaging guided percutaneous aspiration
186,SF704L,"LIVER, ABSCESS, IMAGING GUIDED PERCUTANEOUS DRAINAGE CATHETER INSERTION",2C,Existing,liver abscess imaging guided percutaneous drainage catheter insertion
187,SF705L,"LIVER, PORTAL HYPERTENSION, TRANSJULAR INTRAHEPATIC PORTO-SYSTEMIC SHUNT CREATION (TIPSS)",5A,Existing,liver portal hypertension transjular intrahepatic portosystemic shunt creation tip
188,SF706L,"LIVER, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",3C,Existing,liver tumour imaging guided percutaneous local ablation simple radiofrequency cryotherapy microwave laser alcohol etc
189,SF707L,"LIVER, TUMOUR, TRANS-ARTERIAL CHEMO- EMBOLIZATION (TACE)",4A,Existing,liver tumour transarterial chemo embolization tace
190,SF708L,"LIVER, TUMOUR, TRANS-ARTERIAL RADIO NUCLIDE INFUSION",4B,Existing,liver tumour transarterial radio nuclide infusion
191,SF709L,"LIVER, VARIOUS LESIONS, MIS ULTRASOUND AND LOCAL ABLATION INCLUDING RADIO-FREQUENCY ABLATION",4B,Existing,liver various lesion mi ultrasound local ablation including radiofrequency ablation
192,SF710L,"LIVER, VARIOUS LESIONS, TRANSJUGULAR LIVER BIOPSY",3B,Existing,liver various lesion transjugular liver biopsy
193,SF711L,"LIVER, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (FOCAL LESIONS, TARGETED)",2A,Existing,liver various lesion imaging guided percutaneous biopsy focal lesion targeted
194,SF712L,"LIVER, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, COMPLEX (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",4A,Existing,liver tumour imaging guided percutaneous local ablation complex radiofrequency cryotherapy microwave laser alcohol etc
195,SF800L,"LIP, MUCOUS CYST/MUCOCELE, REMOVAL",1B,Existing,lip mucous cystmucocele removal
196,SF801L,"LIP, VARIOUS LESIONS, FULL THICKNESS WEDGE EXCISION WITH REPAIR",2C,Existing,lip various lesion full thickness wedge excision repair
197,SF802L,"LIP, VARIOUS LESIONS, RECONSTRUCTION USING FULL THICKNESS FLAP",5C,Existing,lip various lesion reconstruction using full thickness flap
198,SF803L,"LIP, VARIOUS LESIONS, VERMILIONECTOMY",2C,Existing,lip various lesion vermilionectomy
199,SF804L,"LIVER, ABSCESS, TRANS-ABDOMINAL DRAINAGE",3C,Descriptor change,liver abscess transabdominal drainage
200,SF805L,"LIVER, HYDATID CYST, TRANS-ABDOMINAL DRAINAGE (PERCUTANEOUS)",3B,Existing,liver hydatid cyst transabdominal drainage percutaneous
201,SF806L,"LIVER, OBSTRUCTIVE JAUNDICE, LONGMIRE OPERATION/CHLODEDOCHO JEJUNOSTOMY",4C,Existing,liver obstructive jaundice longmire operationchlodedocho jejunostomy
202,SF807L,"LIVER, TRAUMA, MAJOR REPAIR LACERATION",6B,Existing,liver trauma major repair laceration
203,SF808L,"LIVER, TRAUMA, MINOR REPAIR LACERATION",4A,Existing,liver trauma minor repair laceration
204,SF809L,"LIVER, TRAUMA/TUMOR, EXTENDED LOBECTOMY (5 SEGMENTS/MORE)",7C,Existing,liver traumatumor extended lobectomy 5 segmentsmore
205,SF810L,"LIVER, TRAUMA/TUMOR, HEPATIC ARTERY LIGATION",4B,Existing,liver traumatumor hepatic artery ligation
206,SF811L,"LIVER, TRAUMA/TUMOR, LIVER TRANSPLANT",7C,Existing,liver traumatumor liver transplant
207,SF812L,"LIVER, VARIOUS LESIONS, LOBECTOMY (3 - 4 SEGMENTS)",6B,"Descriptor
change",liver various lesion lobectomy 3 4 segment
208,SF813L,"LIVER, VARIOUS LESIONS, PARTIAL LOBECTOMY/SEGMENTAL RESECTION",5C,Descriptor change,liver various lesion partial lobectomysegmental resection
209,SF814L,"LIVER, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY (LIVER PARENCHYMA, NON DIRECTED)",1C,Existing,liver various lesion imaging guided percutaneous biopsy liver parenchyma non directed
210,SF815L,"LIVER, VARIOUS LESIONS, WEDGE/LOCAL EXCISION",4C,Descriptor change,liver various lesion wedgelocal excision
211,SF700M,"MOUTH, DEFECT, MUCOUS MEMBRANE/CONNECTIVE TISSUE GRAFT",2A,Existing,mouth defect mucous membraneconnective tissue graft
212,SF701M,"MOUTH, FRENAL ATTACHMENT, RELEASE",1B,Existing,mouth frenal attachment release
213,SF702M,"MOUTH, INTRA ORAL TUMOUR RADICAL EXCISION WITH RESECTION OF MANDIBLE AND BILATERAL NECK DISSECTION",7A,Existing,mouth intra oral tumour radical excision resection mandible bilateral neck dissection
214,SF703M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), PERIODONTITIS, OPEN FLAP DEBRIDEMENT",1B,Existing,mouth periodontium within 1 quadrant periodontitis open flap debridement
215,SF704M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY",1B,Existing,mouth periodontium within 1 quadrant soft tissue defectdeformity gingivoplasty
216,SF705M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY WITH AUTOGENOUS SOFT TISSUE GRAFT",2B,Descriptor change,mouth periodontium within 1 quadrant soft tissue defectdeformity gingivoplasty autogenous soft tissue graft
217,SF706M,"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS), PERIODONTITIS, OPEN FLAP DEBRIDEMENT",2A,Existing,mouth periodontium within 2 quadrant periodontitis open flap debridement
218,SF707M,"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY",2A,Existing,mouth periodontium within 2 quadrant soft tissue defectdeformity gingivoplasty
219,SF708M,"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY WITH AUTOGENOUS SOFT TISSUE GRAFT",3A,Descriptor change,mouth periodontium within 2 quadrant soft tissue defectdeformity gingivoplasty autogenous soft tissue graft
220,SF709M,"MOUTH, PERIODONTIUM, BONE DEFECT/DEFORMITY, AUGMENTATION (AUTOGENOUS) /REGENERATION",2C,Existing,mouth periodontium bone defectdeformity augmentation autogenous regeneration
221,SF710M,"MOUTH, PERIODONTIUM, BONE DEFECT/DEFORMITY, AUGMENTATION (NON-AUTOGENOUS) /REGENERATION",2A,Existing,mouth periodontium bone defectdeformity augmentation nonautogenous regeneration
222,SF711M,"MOUTH, SALIVARY GLAND, VARIOUS LESIONS, DILATATION OF DUCT",MSP,Existing,mouth salivary gland various lesion dilatation duct
223,SF712M,"MOUTH, SUBMUCOSAL RESECTION, ENDOSCOPIC EXCISION WITH BIOPSY",4A,Existing,mouth submucosal resection endoscopic excision biopsy
224,SF713M,"MOUTH, SUBLINGUAL GLAND, TUMOR, EXCISION BIOPSY",2C,Existing,mouth sublingual gland tumor excision biopsy
225,SF714M,"MOUTH, SUBMANDIBULAR GLAND, CALCULUS (DEEP), REMOVAL BIOPSY",3A,Existing,mouth submandibular gland calculus deep removal biopsy
226,SF715M,"MOUTH, SUBMANDIBULAR GLAND, CALCULUS, REMOVAL WITH BIOPSY",1C,Existing,mouth submandibular gland calculus removal biopsy
227,SF716M,"MOUTH, SUBMANDIBULAR GLAND, VARIOUS LESIONS, EXCISION WITH BIOPSY",3C,Existing,mouth submandibular gland various lesion excision biopsy
228,SF800M,"MOUTH, ABSCESS (DEEP), DRAINAGE OF 1 SPACE (INCLUDES SUBMASSETERIC, SUBMANDIBULAR, TEMPORAL, AND PTERYGOMANDIBULAR SPACES)",2B,Descriptor change,mouth abscess deep drainage 1 space includes submasseteric submandibular temporal pterygomandibular space
229,SF801M,"MOUTH, ABSCESS, (SUPERFICIAL), DRAINAGE",1A,Existing,mouth abscess superficial drainage
