S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
48,SA800F,"FASCIA (DEEP), RUPTURE WITH HERNIATED MUSCLE, REPAIR",1B,Existing,fascia deep rupture herniated muscle repair,-0.6682023,10.742811
190,SK811S,"SKULL, OSTEOMYELITIS, CRANIECTOMY",5C,Existing,skull osteomyelitis craniectomy,-1.2556654,10.629861
107,SA811S,"SKIN AND SUBCUTANEOUS TISSUE, DEBRIDEMENT WHICH ALSO INCLUDES MUSCLE, TENDON OR BONE (INCLUDES SUTURING OF WOUND WHEN PERFORMED)2",2C,Descriptor change,skin subcutaneous tissue debridement also includes muscle tendon bone includes suturing wound performed2,0.39877933,11.902214
150,SB832F,"FOOT, HALLUX VALGUS/HAMMER TOE, SOFT TISSUE RECONSTRUCTION",3B,Existing,foot hallux valgushammer toe soft tissue reconstruction,1.9453408,11.259625
2,SF702A,"ABDOMEN/PELVIS, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2A,Existing,abdomenpelvis various lesion imaging guided percutaneous biopsy,-1.1942774,9.838571
39,SB810B,"BONE (LOWER LIMB), TUMOR (BENIGN), <3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",4A,Existing,bone lower limb tumor benign 3 cm bone grafting reconstructioninternal fixation,3.150173,10.864542
14,SB806A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change,ankle various lesion primary total joint replacement,3.7684066,6.880104
67,SF847A,"APPENDIX, ABSCESS, DRAINAGE ONLY",2C,Existing,appendix abscess drainage,0.6946639,14.393039
72,SI709U,"UTERUS, FIBROIDS, MYOMECTOMY (SIMPLE, <5CM)9",3C,Existing,uterus fibroid myomectomy simple 5cm9,-4.264869,12.166009
124,SG826U,"URETHRA, VARIOUS LESIONS, EXCISION",3B,Existing,urethra various lesion excision,-4.3532767,10.422428
38,SC712T,"THORAX, THORACOSCOPY FOR PLEURODESIS",3C,Existing,thorax thoracoscopy pleurodesis,1.484467,9.197011
19,SF720A,"ANUS, FISTULA-IN-ANO, INSERTION OF SETON",1C,Existing,anus fistulainano insertion seton,-1.129611,6.5013185
46,SH835P,"PROSTATE GLAND, VARIOUS LESIONS, SATURATION PROSTATE BIOPSY OR MRI-US GUIDED FUSION BIOPSY",2A,Descriptor change,prostate gland various lesion saturation prostate biopsy mrius guided fusion biopsy,1.8799725,14.662691
103,SG804U,"URETER, VARIOUS LESIONS, BOARI FLAP REIMPLANTATION",5C,Existing,ureter various lesion boari flap reimplantation,-4.5584645,9.277562
66,SL810E,"EYE, SQUINT, COMPLEX STRABISMUS SURGERY (VESSEL SPARING SX, PARALYTIC AND RESTRICTIVE STRABISMUS, HORIZONTAL COMBINED WITH OBLIQUE/VERTICAL",4C,Existing,eye squint complex strabismus surgery vessel sparing sx paralytic restrictive strabismus horizontal combined obliquevertical,6.8429713,8.297192
146,SB828F,"FINGER, VARIOUS LESIONS, RAY AMPUTATION (SINGLE)",3A,Existing,finger various lesion ray amputation single,1.6113367,10.519178
324,SB811L,"LOWER LIMB, VARIOUS LESIONS, HINDQUARTER AMPUTATION",6B,Existing,lower limb various lesion hindquarter amputation,3.6062217,9.688862
33,SB804B,"BONE (LOWER LIMB), FRACTURE/DISLOCATION, MANIPULATION AND KIRSCHNER WIRE FIXATION",3B,Existing,bone lower limb fracturedislocation manipulation kirschner wire fixation,3.1778793,9.568262
445,SB742S,"SCAPULA, COMPLEX SCAPULAR FRACTURE (WITH/WITHOUT GLENOHUMERAL JOINT INVOLVEMENT), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",5B,Existing,scapula complex scapular fracture withwithout glenohumeral joint involvement open reduction internal fixation orif,1.6044221,5.144019
15,SL706C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO- KERATOPROSTHESIS STAGE 1",7C,Existing,cornealocular surface osteoodonto keratoprosthesis stage 1,-3.2283597,9.170939
351,SF812T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",1B,Existing,tooth superficial uneruptedpartially eruptedimpacted excision removal bone without tooth division,-0.5134267,8.846604
334,SB706M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, VESTIBULOPLASTY, SIMPLE",2B,Existing,mandible maxilla various lesion vestibuloplasty simple,1.8560499,9.612524
16,SL707C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO- KERATOPROSTHESIS STAGE 2",5C,Existing,cornealocular surface osteoodonto keratoprosthesis stage 2,-3.2308211,9.173586
404,SB704P,"PELVIS, FRACTURE, POSTERIOR FIXATION",6A,New,pelvis fracture posterior fixation,1.6554955,10.247027
55,SG713K,"KIDNEY, RENAL ABSCESS/PERINEPHRIC ABSCESS, IMAGING GUIDED PERCUTANEOUS ASPIRATION",2A,Existing,kidney renal abscessperinephric abscess imaging guided percutaneous aspiration,-1.280502,9.786004
10,SI801C,"CERVIX, POLYP, EXCISION (OUTPATIENT)",MSP,Existing,cervix polyp excision outpatient,-2.9497726,9.885129
349,SF810T,"TOOTH (DEEP, I.E. COMPLETELY BURIED IN BONE), EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",3A,Existing,tooth deep ie completely buried bone excision removal bone tooth division,-0.52568483,8.839943
42,SE800S,"SPLEEN, HYPERSPLENISM/MASSIVE ENLARGEMENT, SPLENECTOMY",5C,Descriptor change,spleen hypersplenismmassive enlargement splenectomy,-0.18435073,8.5337515
135,SL701O,OPTIC NERVE SHEATH FENESTRATION,5A,Existing,optic nerve sheath fenestration,3.2588642,4.442522
61,SA702R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITHOUT OPEN SURGERY): PROSTATE",5A,Existing,radiotherapy interstitial brachytherapy without open surgery prostate,-0.59867907,11.632784
88,SI725U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC, D&C",2B,Existing,uteruscervix hysteroscopy diagnostic dc,-1.7432553,9.688599
93,SA729S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 10MM AND INCLUDING 20MM",1B,New,skin subcutaneous tissue tumorcystulcerscar excisionpunchshave biopsy lesion size 10mm including 20mm,0.78712654,12.263262
467,SB806S,"CERVICAL SPINE, EXCISION OF CERVICAL RIB",4C,Existing,cervical spine excision cervical rib,0.3889497,10.3734255
87,SG815K,"KIDNEY, VARIOUS LESIONS, EXPLORATION",3A,Existing,kidney various lesion exploration,-1.7990994,9.446702
89,SL836E,"EYELIDS, PTOSIS, CORRECTION WITH FASCIA LATA GRAFT (UNILATERAL)",4A,Existing,eyelid ptosis correction fascia lata graft unilateral,-2.2786403,12.047861
81,SB704E,"ELBOW, DISLOCATION , LIGAMENT REPAIR (SINGLE)",3A,Existing,elbow dislocation ligament repair single,2.6413026,8.646007
91,SG703U,"URETHRA, MID-URETHRAL SLINGS",3A,Existing,urethra midurethral sling,-4.316314,10.427521
160,SB703H,"HAND, CLOSED FRACTURE, ORIF (MULTIPLE), NON-JOINT",5A,Existing,hand closed fracture orif multiple nonjoint,2.0530984,10.842917
112,SG813U,"URETER, VARIOUS LESIONS, URETEROURETEROSTOMY",4B,Existing,ureter various lesion ureteroureterostomy,-4.5455065,9.266274
320,SF805S,"STOMACH, PYLORIC STENOSIS, PYLOROPLASTY",3B,Existing,stomach pyloric stenosis pyloroplasty,-0.9135721,8.806627
34,SH822P,"PENIS, VARIOUS LESIONS, ANDROSCOPIC EXAMINATION",MSP,Existing,penis various lesion androscopic examination,-2.8399715,8.947472
21,SD720A,"ARTERY, STENOSIS/OCCLUSION (E.G. PULMONARY, COARCTATION, SUBINTIMAL, BELOW KNEE), PERCUTANEOUS ANGIOPLASTY (PTA), DIFFICULT",4A,Existing,artery stenosisocclusion eg pulmonary coarctation subintimal knee percutaneous angioplasty pta difficult,0.88427114,9.162094
129,SF801D,"DUODENUM, VARIOUS LESIONS, GASTROENTEROSTOMY/GASTRODUODENOSTOMY",4A,Existing,duodenum various lesion gastroenterostomygastroduodenostomy,0.20960453,9.106174
44,SK808B,"BRAIN, HYDROCEPHALUS, SPINO-PERITONEAL SHUNT",4A,Existing,brain hydrocephalus spinoperitoneal shunt,-2.9720294,12.386153
111,SA815S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE FLAPS",7C,Existing,skin subcutaneous tissue defect deep free flap,2.3733897,12.358142
43,SA831B,"CONTRALATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE",4A,Existing,contralateral mastopexyreduction following breast tumour malignant wide excisionlumpectomysegmental partial mastectomy without sentinel node biopsy andor axillary clearance,3.1496644,13.65344
126,SA830S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, STAGED LOCAL FLAP(DIVISION)",1B,Existing,skin subcutaneous tissue defect staged local flapdivision,2.3688362,12.369403
5,SB704A,"ANKLE, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,ankle various lesion revision total joint replacement,3.739015,6.9528694
39,SG818B,"BLADDER, VESICOSTOMY",3A,Existing,bladder vesicostomy,-1.5143352,8.244569
53,SA800M,"MUCOUS MEMBRANE (EAR/NOSE/EYELID) AVULSION/COMPLEX LACERATION, FULL THICKNESS REPAIR",3A,Existing,mucous membrane earnoseeyelid avulsioncomplex laceration full thickness repair,-0.124345385,11.737835
346,SB804M,"MANDIBLE, FRACTURE (COMMINUTED), OPEN REDUCTION AND FIXATION",5C,Existing,mandible fracture comminuted open reduction fixation,1.4472032,5.212751
69,SA705S,"SKIN, DEFECT, DISTANT SKIN FLAPS",4B,Existing,skin defect distant skin flap,2.4131405,12.298818
37,SK801B,"BRAIN, ACOUSTIC TUMOR/CEREBELLO-PONTINE ANGLE TUMOR, EXCISION, SIMPLE",7A,Existing,brain acoustic tumorcerebellopontine angle tumor excision simple,-2.7001562,12.602994
99,SI810U,"UTERUS, DISPLACED INTRAUTERINE CONTRACEPTIVE DEVICE, REMOVAL WITHOUT GENERAL ANAESTHESIA",MSP,Existing,uterus displaced intrauterine contraceptive device removal without general anaesthesia,-1.6842157,10.444531
42,SL711E,"EYELIDS, NON-INVOLUTIONAL ECTROPION/ ENTROPION, CORRECTION (BILATERAL)",4B,Existing,eyelid noninvolutional ectropion entropion correction bilateral,-2.2116797,12.190157
159,SL703R,"RETINA, TRANS PARS PLANA POSTERIOR CAPSULECTOMY",3B,Existing,retina trans par plana posterior capsulectomy,-2.024974,11.65323
347,SF808T,"TONGUE, TUMOR, TOTAL GLOSSECTOMY",4A,Existing,tongue tumor total glossectomy,-0.5654369,13.256082
184,SA889S,"SOFT TISSUE, TUMOR (MALIGNANT), RADICAL EXCISION BIOPSY >7CM OTHER THAN UPPER/LOWER LIMBS",5C,Existing,soft tissue tumor malignant radical excision biopsy 7cm upperlower limb,2.9357498,11.232755
138,SA842S,"SKIN AND  SUBCUTANEOUS TISSUE, LACERATIONS (DEEP >3CM/MULTIPLE) LACERATIONS, REPAIR/TOILET & SUTURE, WITH/WITHOUT DEBRIDEMENT",3B,Existing,skin subcutaneous tissue laceration deep 3cmmultiple laceration repairtoilet suture withwithout debridement,0.20873052,11.800392
73,SD831A,"ARTERY, OCCLUSION, REVASCULARIZATION WITH ADVANCED TECHNIQUES (SAFARI TECHNIQUE/RETROGRADE ACCESS/ LONG SEGMENT CHRONIC TOTAL OCCLUSION > 20 CM/ COMPLETE FOOT ARCH REVASCULARISATION/ DEEP VENOUS ARTERIALISATION)",5A,New,artery occlusion revascularization advanced technique safari techniqueretrograde access long segment chronic total occlusion 20 cm complete foot arch revascularisation deep venous arterialisation,0.45648852,10.466482
41,SC715T,"THORAX, EFFUSION/FLUID/ABSCESS COLLECTION, IMAGING GUIDED PERCUTANEOUS DRAINAGE CATHETER INSERTION",1C,Existing,thorax effusionfluidabscess collection imaging guided percutaneous drainage catheter insertion,-0.99397486,9.847818
133,SA837S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA ON FACE, HANDS, GENITALIA, EXCISION",4A,Existing,skin subcutaneous tissue arteriovenous malformationhemangiomalymphangioma face hand genitalia excision,0.80022794,11.808323
81,SA717S,"SOFT TISSUE (LOWER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY",5C,Existing,soft tissue lower limb tumor malignant radical excision biopsy,2.9699104,11.217047
195,SK703T,"INTERPLEURAL SPACE, BLOCK, CATHETER",1C,Existing,interpleural space block catheter,2.8459017,16.040916
3,SC702B,"BRONCHUS/LUNG, TRANSBRONCHIAL NEEDLE ASPIRATION OF MEDIASTINAL LYMPH NODES, WITH OR WITHOUT ENDOBRONCHIAL ULTRASOUND (EBUS)",3A,Existing,bronchuslung transbronchial needle aspiration mediastinal lymph node without endobronchial ultrasound ebus,-0.13807414,10.57172
342,SB800M,"MANDIBLE (EXCLUDING ALVEOLAR MARGINS), VARIOUS LESIONS, COMPLEX OSTEOTOMY/OSTECTOMY",6B,Existing,mandible excluding alveolar margin various lesion complex osteotomyostectomy,1.8367496,9.757791
193,SD807V,"VEIN, VARICOSITY, HIGH LIGATION OF SHORT SAPHENOUS VEIN AT SAPHENO-POPLITEAL JUNCTION",3B,Existing,vein varicosity high ligation short saphenous vein saphenopopliteal junction,0.7302037,8.081926
129,SG831U,"URETHRA, VARIOUS LESIONS, URETHROTOMY",2C,Existing,urethra various lesion urethrotomy,-4.379346,10.428664
157,SD700S,"SURFACE LESIONS, ANGIOSARCOMA, WITH BIOPSY",1B,Existing,surface lesion angiosarcoma biopsy,-0.56745994,10.255875
74,SL819E,"EYE, VARIOUS LESIONS, RETROBULAR INJECTION",MSP,Existing,eye various lesion retrobular injection,6.9566226,8.251936
166,SA871S,"SKIN, SCARS/LESIONS (MULTIPLE/BILATERAL), REMOVAL OF TISSUE EXPANDER/PROSTHESIS (INCLUDING BREAST IMPLANTS) AND REVISION/ EXCISION OF SCARS, UNILATERAL CAPSULECTOMY (AT LEAST 50%)4",3C,Descriptor change,skin scarslesions multiplebilateral removal tissue expanderprosthesis including breast implant revision excision scar unilateral capsulectomy least 504,1.0091375,12.054646
49,SB821B,"BONE (UPPER LIMB), FRACTURE/DISLOCATION/SPRAIN, FULL CAST",MSP,Existing,bone upper limb fracturedislocationsprain full cast,3.3072462,9.861531
254,SF801N,"NECK, BRANCHIAL FISTULA, REMOVAL",3B,Existing,neck branchial fistula removal,-1.0513898,10.439367
247,SB713J,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, RECONSTRUCTION (BILATERAL)",7A,Existing,joint temporomandibular various lesion reconstruction bilateral,0.58801866,3.9827929
8,SH703P,"PENIS, REMOVAL OF ""PENILE"" IMPLANT",3B,Existing,penis removal penile implant,-2.8495681,8.785366
32,SD731A,"ARTERY, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLISATION OF MORE THAN 2 VESSELS",4B,Existing,artery various lesion percutaneous transcatheter embolisation 2 vessel,0.13646306,9.426769
281,SF811P,"PAROTID, CALCULUS (DEEP), REMOVAL",3A,Existing,parotid calculus deep removal,-0.035058055,10.143304
14,SI805C,"CERVIX, POLYP, EXCISION/EROSION (COMPLICATED) INCLUDES D&C WITH BIOPSY",2B,Existing,cervix polyp excisionerosion complicated includes dc biopsy,-2.934021,9.889192
98,SA802S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION WITH IMMEDIATE BLOCK DISSECTION",5A,Existing,skin subcutaneous tissue tumour malignant wide excision immediate block dissection,0.32615495,11.399076
64,SI700U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC (WITH GENERAL ANESTHESIA)",1C,Existing,uteruscervix hysteroscopy diagnostic general anesthesia,-1.6936244,9.880198
50,SC724T,"TRACHEA/BRONCHUS, STRICTURE, IMAGING GUIDED STENT PLACEMENT",3A,Existing,tracheabronchus stricture imaging guided stent placement,0.91107875,7.898565
538,SB810U,"UPPER LIMB/LOWER LIMB DEFORMITY AND LIMB LENGTH DEFORMITY, OSTEOTOMY/OSTEOTOMIES FOR ACUTE DEFORMITY CORRECTION AND USE OF INTRAMEDULLARY LENGTHENING NAIL DEVICE FOR GRADUAL LIMB LENGTHENING",6A,New,upper limblower limb deformity limb length deformity osteotomyosteotomies acute deformity correction use intramedullary lengthening nail device gradual limb lengthening,2.842076,10.048207
80,SI717U,"UTERUS, LYSIS OF ASHERMAN'S (SIMPLE), HYSTEROSCOPIC",2C,Existing,uterus lysis ashermans simple hysteroscopic,-4.2596917,12.16072
143,SI713V,VAGINAL HYSTERECTOMY + ANTERIOR REPAIR +/- POSTERIOR REPAIR,5A,Uptable,vaginal hysterectomy anterior repair posterior repair,-3.5444305,10.612142
103,SA807S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (LIMITED)",1A,Existing,skin subcutaneous tissue burn escharotomy limited,1.396097,12.483867
235,SB701J,"JOINTS (TEMPOROMANDIBULAR), VARIOUS LESIONS, ARTHROSCOPY (BILATERAL)",3B,Existing,joint temporomandibular various lesion arthroscopy bilateral,0.58478624,3.9863694
75,SA711S,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MAJOR RELEASE",4A,Existing,soft tissue lower limb contracture major release,3.356761,10.305502
378,SB836M,"MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND FIXATION",6B,Existing,maxilla fracture lefort iii open reduction fixation,1.2343913,5.1579227
145,SM703T,"TONSILS, ABSCESS, DRAINAGE",1A,Existing,tonsil abscess drainage,0.6877929,14.371407
178,SI827V,"VULVA, IMPERFORATE HYMEN, HYMENECTOMY",1B,Existing,vulva imperforate hymen hymenectomy,-3.297984,11.504134
153,SF700G,"GALLBLADDER, CHOLECYSTITIS, IMAGING GUIDED PERCUTANEOUS CHOLECYSTOSTOMY",2C,Existing,gallbladder cholecystitis imaging guided percutaneous cholecystostomy,-1.231525,9.87916
92,SD706H,"HEART, BIVENT AUTOMATIC IMPLANTABLE CARDIOVERTER DEFRIBRILLATOR (INCLUSIVE OF DFT)",5A,Existing,heart bivent automatic implantable cardioverter defribrillator inclusive dft,0.7264603,6.390831
249,SF821M,"MOUTH, SMALL SOFT TISSUE TUMOR, EXCISION BIOPSY < 3CM",1B,Existing,mouth small soft tissue tumor excision biopsy 3cm,2.7144458,11.3281
152,SL809O,"ORBIT, VARIOUS LESIONS, RECONSTRUCTION OF FLOOR/ROOF WITH BONE GRAFT",4B,Existing,orbit various lesion reconstruction floorroof bone graft,-1.3274907,13.64525
126,SL808L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (UNILATERAL LEFT)",4A,Existing,lens cataract extraction intraocular lens implant unilateral left,7.6093273,6.525479
88,SL835E,"EYELIDS, PTOSIS, CORRECTION WITH FASCIA LATA GRAFT (BILATERAL)",5B,Existing,eyelid ptosis correction fascia lata graft bilateral,-2.2762053,12.033046
7,SC706B,"BRONCHUS/LUNG, BRONCHOSCOPY, TARGETED TRANSBRONCHIAL LUNG BIOPSY FOR FOCAL LESIONS (IMAGING-GUIDED)",2C,Existing,bronchuslung bronchoscopy targeted transbronchial lung biopsy focal lesion imagingguided,1.6032203,8.445204
163,SD705V,"VEIN, HEPATIC, PORTAL HYPERTENSION, DIAGNOSTIC HEPATIC VENOGRAPHY WITH OR WITHOUT PRESSURE MEASUREMENTS",2B,Existing,vein hepatic portal hypertension diagnostic hepatic venography without pressure measurement,-0.20434,9.789898
189,SB800H,"HAND, AMPUTATED DIGIT(S), TOE TO HAND TRANSFER",7B,Existing,hand amputated digit toe hand transfer,2.326476,10.841935
36,SB807B,"BONE (LOWER LIMB), OSTEOMYELITIS, SIMPLE DRAINAGE",2B,Existing,bone lower limb osteomyelitis simple drainage,3.7159808,10.486883
14,SL705C,"CORNEA/CONJUNCTIVA, GUNDERSON FLAP",3B,Existing,corneaconjunctiva gunderson flap,2.4429035,12.2836895
68,SB802C,"CERVICAL SPINE, VARIOUS LESIONS - ANTERIOR DECOMPRESSION AND FUSION AND/OR DISC REPLACEMENT (2 SEGMENTS)",6B,Descriptor change,cervical spine various lesion anterior decompression fusion andor disc replacement 2 segment,-2.5609353,5.269355
252,SF824M,"MOUTH, VARIOUS/PATHOLOGIC LESIONS OF ORAL MUCOSA, CRYOSURGICAL/LASER APPLICATION WITH BIOPSY",2B,Existing,mouth variouspathologic lesion oral mucosa cryosurgicallaser application biopsy,-0.05052301,12.638924
57,SH800T,"TESTIS, TUMOR, RETROPERITONEAL LYMPH NODE DISSECTION FOLLOWING ORCHIDECTOMY",5C,Existing,testis tumor retroperitoneal lymph node dissection following orchidectomy,2.5931706,14.397079
118,SA822S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFT (SPLIT SKIN GRAFT/PINCH GRAFTS/CULTURED EPITHELIAL AUTOGRAFTS UNDER 1/2%)",1B,Descriptor change,skin subcutaneous tissue defect free graft split skin graftpinch graftscultured epithelial autograft 12,2.0821989,12.570802
238,SB704J,"JOINTS (LOWER LIMB, HIP), SEPTIC ARTHRITIS, SIMPLE DRAINAGE",3A,Existing,joint lower limb hip septic arthritis simple drainage,4.084262,10.266487
474,SB818S,"SPINE, VARIOUS LESIONS, SPINAL RHIZOLYSIS INVOLVING EXPOSURE OF SPINAL NERVE ROOTS",6B,Existing,spine various lesion spinal rhizolysis involving exposure spinal nerve root,0.096948236,10.646385
50,SB822B,"BONE (UPPER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION, WOUND DEBRIDEMENT",2B,Existing,bone upper limb grade 1 2 open fracturesopen dislocation open fracture dislocation wound debridement,2.9107022,9.149753
150,SK726S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (EXTRADURAL)",6B,Existing,spinal cord tumour laminectomy excision extradural,-2.2037132,10.213509
10,SH705P,"PROSTATE GLAND, PROSTATE IMRT (INTENSITY MODULATED RADIATION THERAPY) GOLD SEEDS INSERTION",2C,Existing,prostate gland prostate imrt intensity modulated radiation therapy gold seed insertion,1.8615292,14.682314
146,SM704T,"TONSILS, HEMORRHAGE, HEMOSTASIS",1B,Existing,tonsil hemorrhage hemostasis,-1.8523227,12.68115
95,SA731S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, REMOVAL OF 3 OR MORE RECURRENT OR COMPLICATED (ADHERENT), TOTAL TISSUE SIZE UP TO 20MM IN DIAMETER, EXCISION",2C,New,skin subcutaneous tissue tumorcystulcerscar removal 3 recurrent complicated adherent total tissue size 20mm diameter excision,0.7824713,12.183423
47,SI702O,"OVARY, MALIGNANT TUMOR/CYST, STAGING LAPAROTOMY, AS THE ONLY PROCEDURE",3C,Existing,ovary malignant tumorcyst staging laparotomy procedure,-1.1630387,8.998997
34,SA820B,"BREAST, POST PROSTHETIC CONTRACTION, CAPSULOTOMY (BILATERAL)",3A,Existing,breast post prosthetic contraction capsulotomy bilateral,0.893953,13.486181
164,SK741S,"SPINE, REPLACEMENT OF SPINAL CORD STIMULATOR, ELECTRICAL GENERATOR",3B,Existing,spine replacement spinal cord stimulator electrical generator,-2.1794376,10.193574
124,SL806L,"LENS, CATARACT (JUVENILE), REMOVAL AND NEEDLINGS",3B,Existing,lens cataract juvenile removal needlings,7.633369,6.501237
249,SB715J,"JOINTS (UPPER LIMB, SHOULDER), SEPTIC ARTHRITIS/EFFUSION, SIMPLE DRAINAGE",3A,Existing,joint upper limb shoulder septic arthritiseffusion simple drainage,4.09083,10.299544
35,SG814B,"BLADDER, VARIOUS LESIONS, TOTAL CYSTECTOMY WITH ILEAL CONDUIT",6B,Existing,bladder various lesion total cystectomy ileal conduit,-1.3805372,8.299163
517,SB831T,"TOES, VARIOUS LESIONS, ARTHRODESIS",2C,Existing,toe various lesion arthrodesis,3.3111439,8.773816
89,SI726U,"UTERUS/VAGINA, MIS RECONSTRUCTION OF FROZEN PELVIS/LATERAL PELVIC WALL DISSECTION; EXTIRPATION OF RECTOVAGINAL ENDOMETRIOSIS",5C,Existing,uterusvagina mi reconstruction frozen pelvislateral pelvic wall dissection extirpation rectovaginal endometriosis,-2.024959,9.535008
20,SL801C,"CONJUNCTIVA, NAEVUS, REMOVAL",1B,Existing,conjunctiva naevus removal,-2.1438096,11.085067
1,SA700B,BOTULINUM TOXIN THERAPY FOR MOVEMENT DISORDERS,MSP,Existing,botulinum toxin therapy movement disorder,-2.983955,10.683589
41,SK805B,"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT",4A,Existing,brain hydrocephalus lesion ventriculoatrialventriculoperitoneal shunt,-2.982566,12.386934
24,SF801A,"ABDOMINAL CAVITY, ADHESIONS (LIMITED), LYSIS AS PRIMARY PROCEDURE WHERE TIME TAKEN IS LESS THAN 2HOURS",3B,Descriptor change,abdominal cavity adhesion limited lysis primary procedure time taken le 2hours,0.6976123,9.674174
31,SF808A,"ABDOMINAL CAVITY, VARIOUS LESIONS, EXPLORATORY LAPAROTOMY",3A,Descriptor change,abdominal cavity various lesion exploratory laparotomy,-3.0006368,6.8831177
33,SI802F,"FALLOPIAN TUBE, BLOCKED TUBES, PLASTIC REPAIR (MICROSURGERY/MIS)",5C,Existing,fallopian tube blocked tube plastic repair microsurgerymis,0.8102995,15.2844515
83,SA719S,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MINOR RELEASE",3A,Existing,soft tissue lower limb various lesion minor release,3.3263967,10.402266
47,SG704K,"KIDNEY, CYST, MARSUPIALISATION, MIS",4A,Existing,kidney cyst marsupialisation mi,-1.6108145,9.766169
28,SK705B,"BRAIN, EPILEPSY, CRANIOTOMY, COMPLEX (AWAKE CRANIOTOMY)",7A,Existing,brain epilepsy craniotomy complex awake craniotomy,-2.5292225,12.790134
477,SB702T,"TIBIA, TIBIAL PLATEAU, COMMINUTED BICONDYLAR, ORIF",5B,Existing,tibia tibial plateau comminuted bicondylar orif,2.260797,9.860982
18,SK717A,"ARTERY-CAROTID, ARTERIO-OCCLUSIVE LESIONS, EXTERNAL CAROTID INTERNAL CAROTID BYPASS, COMPLEX",7A,Existing,arterycarotid arterioocclusive lesion external carotid internal carotid bypass complex,0.6862796,9.676311
147,SK722S,"SKULL, CHIARI MALFORMATION/SYRINGOMYELIA, POSTERIOR FOSSA DECOMPRESSION WITH DURAPLASTY",7A,Existing,skull chiari malformationsyringomyelia posterior fossa decompression duraplasty,-0.922209,9.801104
14,SE713L,"LYMPH NODE, VARIOUS LESIONS, BIOPSY",1B,Existing,lymph node various lesion biopsy,2.7461808,14.318204
26,SG805B,"BLADDER, ECTOPIA VESICAE/ECTOPIA CLOACAE WITH CONGENITAL INCONTINENCE, SPHINCTER RECONSTRUCTION",7B,Existing,bladder ectopia vesicaeectopia cloaca congenital incontinence sphincter reconstruction,-1.3493893,8.334404
15,SC802D,"DIAPHRAGM, VARIOUS LESIONS, PLICATION",3C,New,diaphragm various lesion plication,-0.36526495,10.611856
18,SI809C,"CERVIX, TEAR, REPAIR UNDER ANESTHESIA",1C,Existing,cervix tear repair anesthesia,-2.9282527,9.9186945
110,SI823U,"UTERUS, INVERSION, REPOSITIONING",3C,Existing,uterus inversion repositioning,-4.2132344,12.079447
