S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y,Cluster
11,SK710A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC CEREBRAL ANGIOGRAPHY",3A,Existing,artery intracranial various lesion diagnostic cerebral angiography,-4.5920033,-11.354647,0
118,SI832U,"UTERUS, PREGNANCY AND MULTIPARITY, UNCOMPLICATED CAESAREAN SECTION AND TUBAL LIGATION",4B,Existing,uterus pregnancy multiparity uncomplicated caesarean section tubal ligation,22.497904,-17.685432,0
466,SB805S,"CERVICAL SPINE, VARIOUS LESIONS, LAMINOPLASTY (WITHOUT INSTRUMENTATION)",6B,Existing,cervical spine various lesion laminoplasty without instrumentation,27.602201,-9.760861,0
165,SB708H,"HAND, FLEXOR TENDON, TRIGGER FINGER (MULTIPLE), RELEASE",3A,Existing,hand flexor tendon trigger finger multiple release,-44.370193,13.906734,0
43,SL712E,"EYE, MEDIAL CANTHAL RECONSTRUCTION, BILATERAL",3C,Existing,eye medial canthal reconstruction bilateral,-30.339996,-32.02771,0
162,SF709G,RADICAL CHOLEDOCHECTOMY WITH LIVER RESECTIONS (4 OR MORE SEGMENTS) OR WITH MULTIPLE HEPATICOENTERIC ANASTOMOSIS,7C,Existing,radical choledochectomy liver resection 4 segment multiple hepaticoenteric anastomosis,-6.66214,32.291553,0
78,SA714S,"SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION BIOPSY UNDER GENERAL ANESTHESIA",1B,Existing,soft tissue lower limb small tumor benign excision biopsy general anesthesia,-30.508339,26.239893,0
28,SA814B,"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION/REMOVAL OF IMPLANT, CAPSULECTOMY AND REPLACEMENT (BILATERAL)",5A,Descriptor change,breast post mastectomy implantexpander reconstructionremoval implant capsulectomy replacement bilateral,-3.7110171,-22.521414,0
144,SM702T,"THYROGLOSSAL CYST, SISTRUNK OPERATION WITH HYOID BONE REMOVAL",3B,Existing,thyroglossal cyst sistrunk operation hyoid bone removal,-7.034384,25.447605,0
326,SB813L,"UPPER LIMB/LOWER LIMB, CLOSED FRACTURES, EXTERNAL FIXATION (RING/ MULTIPLANAR / UNIPLANAR) WITHOUT DEBRIDEMENT OR OTHER PROCEDURES",3B,Descriptor change,upper limblower limb closed fracture external fixation ring multiplanar uniplanar without debridement procedure,-58.601826,-14.1298895,0
526,SB703U,"UPPER LIMB/LOWER LIMB, MALIGNANT TUMOUR, SOFT TISSUE, RADICAL EXCISION",5C,Existing,upper limblower limb malignant tumour soft tissue radical excision,-46.8908,-8.578165,0
56,SA803M,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION(S) MORE THAN 7 CM, REPAIR",2B,Existing,mucous membrane superficial laceration 7 cm repair,-18.377344,66.27551,0
439,SB736S,"SPINE, DISCOGRAM (1 TO 2 LEVELS)",2B,Existing,spine discogram 1 2 level,39.239044,42.15529,0
103,SB712F,"FINGER, VARIOUS LESIONS, RAY AMPUTATION (MULTIPLE)",3C,Existing,finger various lesion ray amputation multiple,-38.905052,4.572736,0
519,SB833T,"TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)",4A,Existing,tendon extensor upper limb defect grafting single,-48.374996,15.188387,0
23,SI814C,"CLITORIS, CLITOROMEGALY, AMPUTATION",2C,Existing,clitoris clitoromegaly amputation,-34.91849,2.611224,0
425,SB713S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, SHOULDER RECONSTRUCTION (EG, BRISTOW/LATARJET PROCEDURE)",5B,Existing,shoulder shoulder soft tissue injury shoulder reconstruction eg bristowlatarjet procedure,-11.150002,-26.26653,0
8,SA708B,"BREAST, VARIOUS LESIONS, PERCUTANEOUS ASPIRATION UNDER ULTRASOUND",MSP,Existing,breast various lesion percutaneous aspiration ultrasound,7.571365,22.741392,0
203,SF808L,"LIVER, TRAUMA, MINOR REPAIR LACERATION",4A,Existing,liver trauma minor repair laceration,-27.34476,31.489054,0
48,SC722T,"TRACHEA, TRACHEOSTOMY, REVISION AND REINSERTION",3C,Existing,trachea tracheostomy revision reinsertion,-25.477667,58.703884,0
17,SE716L,"LYMPH NODE (RETROPHARYNGEAL), NECK DISSECTION",5A,Descriptor change,lymph node retropharyngeal neck dissection,-37.98656,-46.828823,0
137,SB819F,"FINGER, SYNDACTYLY (MULTIPLE), SEPARATION",5C,Existing,finger syndactyly multiple separation,-40.518974,5.909905,0
48,SA800F,"FASCIA (DEEP), RUPTURE WITH HERNIATED MUSCLE, REPAIR",1B,Existing,fascia deep rupture herniated muscle repair,-46.653946,24.669456,0
190,SK811S,"SKULL, OSTEOMYELITIS, CRANIECTOMY",5C,Existing,skull osteomyelitis craniectomy,20.305351,-4.2317815,0
107,SA811S,"SKIN AND SUBCUTANEOUS TISSUE, DEBRIDEMENT WHICH ALSO INCLUDES MUSCLE, TENDON OR BONE (INCLUDES SUTURING OF WOUND WHEN PERFORMED)2",2C,Descriptor change,skin subcutaneous tissue debridement also includes muscle tendon bone includes suturing wound performed2,2.389199,24.919802,0
150,SB832F,"FOOT, HALLUX VALGUS/HAMMER TOE, SOFT TISSUE RECONSTRUCTION",3B,Existing,foot hallux valgushammer toe soft tissue reconstruction,-66.63962,13.4133215,0
2,SF702A,"ABDOMEN/PELVIS, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2A,Existing,abdomenpelvis various lesion imaging guided percutaneous biopsy,4.68191,31.029596,0
39,SB810B,"BONE (LOWER LIMB), TUMOR (BENIGN), <3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",4A,Existing,bone lower limb tumor benign 3 cm bone grafting reconstructioninternal fixation,-17.06938,-70.280876,0
14,SB806A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT",6A,Descriptor change,ankle various lesion primary total joint replacement,-28.547651,-25.003696,0
67,SF847A,"APPENDIX, ABSCESS, DRAINAGE ONLY",2C,Existing,appendix abscess drainage,8.506079,7.798976,0
72,SI709U,"UTERUS, FIBROIDS, MYOMECTOMY (SIMPLE, <5CM)9",3C,Existing,uterus fibroid myomectomy simple 5cm9,9.819774,-3.6884398,0
124,SG826U,"URETHRA, VARIOUS LESIONS, EXCISION",3B,Existing,urethra various lesion excision,-12.001507,6.0152826,0
38,SC712T,"THORAX, THORACOSCOPY FOR PLEURODESIS",3C,Existing,thorax thoracoscopy pleurodesis,-8.5476885,17.878344,0
19,SF720A,"ANUS, FISTULA-IN-ANO, INSERTION OF SETON",1C,Existing,anus fistulainano insertion seton,-12.930851,-0.3888097,0
46,SH835P,"PROSTATE GLAND, VARIOUS LESIONS, SATURATION PROSTATE BIOPSY OR MRI-US GUIDED FUSION BIOPSY",2A,Descriptor change,prostate gland various lesion saturation prostate biopsy mrius guided fusion biopsy,9.881012,-55.27662,0
103,SG804U,"URETER, VARIOUS LESIONS, BOARI FLAP REIMPLANTATION",5C,Existing,ureter various lesion boari flap reimplantation,-1.3284187,-26.805357,0
66,SL810E,"EYE, SQUINT, COMPLEX STRABISMUS SURGERY (VESSEL SPARING SX, PARALYTIC AND RESTRICTIVE STRABISMUS, HORIZONTAL COMBINED WITH OBLIQUE/VERTICAL",4C,Existing,eye squint complex strabismus surgery vessel sparing sx paralytic restrictive strabismus horizontal combined obliquevertical,51.953835,16.225712,0
146,SB828F,"FINGER, VARIOUS LESIONS, RAY AMPUTATION (SINGLE)",3A,Existing,finger various lesion ray amputation single,-37.79615,4.915898,0
324,SB811L,"LOWER LIMB, VARIOUS LESIONS, HINDQUARTER AMPUTATION",6B,Existing,lower limb various lesion hindquarter amputation,-33.566677,3.762387,0
33,SB804B,"BONE (LOWER LIMB), FRACTURE/DISLOCATION, MANIPULATION AND KIRSCHNER WIRE FIXATION",3B,Existing,bone lower limb fracturedislocation manipulation kirschner wire fixation,8.455712,-33.215286,0
445,SB742S,"SCAPULA, COMPLEX SCAPULAR FRACTURE (WITH/WITHOUT GLENOHUMERAL JOINT INVOLVEMENT), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",5B,Existing,scapula complex scapular fracture withwithout glenohumeral joint involvement open reduction internal fixation orif,24.795954,37.540955,0
15,SL706C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO- KERATOPROSTHESIS STAGE 1",7C,Existing,cornealocular surface osteoodonto keratoprosthesis stage 1,-51.171917,6.0910983,0
351,SF812T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",1B,Existing,tooth superficial uneruptedpartially eruptedimpacted excision removal bone without tooth division,26.88601,1.8984479,0
334,SB706M,"MANDIBLE OR MAXILLA, VARIOUS LESIONS, VESTIBULOPLASTY, SIMPLE",2B,Existing,mandible maxilla various lesion vestibuloplasty simple,1.4264576,11.995688,0
16,SL707C,"CORNEAL/OCULAR SURFACE, OSTEO-ODONTO- KERATOPROSTHESIS STAGE 2",5C,Existing,cornealocular surface osteoodonto keratoprosthesis stage 2,-51.171917,6.0910983,0
404,SB704P,"PELVIS, FRACTURE, POSTERIOR FIXATION",6A,New,pelvis fracture posterior fixation,-49.956482,36.01541,0
55,SG713K,"KIDNEY, RENAL ABSCESS/PERINEPHRIC ABSCESS, IMAGING GUIDED PERCUTANEOUS ASPIRATION",2A,Existing,kidney renal abscessperinephric abscess imaging guided percutaneous aspiration,5.1749473,28.26387,0
10,SI801C,"CERVIX, POLYP, EXCISION (OUTPATIENT)",MSP,Existing,cervix polyp excision outpatient,7.974013,-22.54165,0
349,SF810T,"TOOTH (DEEP, I.E. COMPLETELY BURIED IN BONE), EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",3A,Existing,tooth deep ie completely buried bone excision removal bone tooth division,23.490128,1.7138462,0
42,SE800S,"SPLEEN, HYPERSPLENISM/MASSIVE ENLARGEMENT, SPLENECTOMY",5C,Descriptor change,spleen hypersplenismmassive enlargement splenectomy,-1.2342383,-62.313553,0
135,SL701O,OPTIC NERVE SHEATH FENESTRATION,5A,Existing,optic nerve sheath fenestration,2.1674073,-83.15902,0
61,SA702R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITHOUT OPEN SURGERY): PROSTATE",5A,Existing,radiotherapy interstitial brachytherapy without open surgery prostate,28.858276,11.806244,0
88,SI725U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC, D&C",2B,Existing,uteruscervix hysteroscopy diagnostic dc,15.919416,-3.961779,0
93,SA729S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 10MM AND INCLUDING 20MM",1B,New,skin subcutaneous tissue tumorcystulcerscar excisionpunchshave biopsy lesion size 10mm including 20mm,14.034402,-21.58642,0
467,SB806S,"CERVICAL SPINE, EXCISION OF CERVICAL RIB",4C,Existing,cervical spine excision cervical rib,-48.67919,-40.155735,0
87,SG815K,"KIDNEY, VARIOUS LESIONS, EXPLORATION",3A,Existing,kidney various lesion exploration,35.247562,1.5312126,0
89,SL836E,"EYELIDS, PTOSIS, CORRECTION WITH FASCIA LATA GRAFT (UNILATERAL)",4A,Existing,eyelid ptosis correction fascia lata graft unilateral,14.463507,-30.179667,0
81,SB704E,"ELBOW, DISLOCATION , LIGAMENT REPAIR (SINGLE)",3A,Existing,elbow dislocation ligament repair single,-43.900517,-26.383419,0
91,SG703U,"URETHRA, MID-URETHRAL SLINGS",3A,Existing,urethra midurethral sling,-12.915306,5.733908,0
160,SB703H,"HAND, CLOSED FRACTURE, ORIF (MULTIPLE), NON-JOINT",5A,Existing,hand closed fracture orif multiple nonjoint,-0.531643,-44.497425,0
112,SG813U,"URETER, VARIOUS LESIONS, URETEROURETEROSTOMY",4B,Existing,ureter various lesion ureteroureterostomy,0.32406798,-26.626122,0
320,SF805S,"STOMACH, PYLORIC STENOSIS, PYLOROPLASTY",3B,Existing,stomach pyloric stenosis pyloroplasty,21.750048,23.963608,0
34,SH822P,"PENIS, VARIOUS LESIONS, ANDROSCOPIC EXAMINATION",MSP,Existing,penis various lesion androscopic examination,26.538431,-15.0437155,0
21,SD720A,"ARTERY, STENOSIS/OCCLUSION (E.G. PULMONARY, COARCTATION, SUBINTIMAL, BELOW KNEE), PERCUTANEOUS ANGIOPLASTY (PTA), DIFFICULT",4A,Existing,artery stenosisocclusion eg pulmonary coarctation subintimal knee percutaneous angioplasty pta difficult,-47.184372,42.94601,0
129,SF801D,"DUODENUM, VARIOUS LESIONS, GASTROENTEROSTOMY/GASTRODUODENOSTOMY",4A,Existing,duodenum various lesion gastroenterostomygastroduodenostomy,-11.248043,43.31238,0
44,SK808B,"BRAIN, HYDROCEPHALUS, SPINO-PERITONEAL SHUNT",4A,Existing,brain hydrocephalus spinoperitoneal shunt,45.889984,-22.121351,0
111,SA815S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE FLAPS",7C,Existing,skin subcutaneous tissue defect deep free flap,-19.612068,9.769984,0
43,SA831B,"CONTRALATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE",4A,Existing,contralateral mastopexyreduction following breast tumour malignant wide excisionlumpectomysegmental partial mastectomy without sentinel node biopsy andor axillary clearance,19.407635,-49.797783,0
126,SA830S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, STAGED LOCAL FLAP(DIVISION)",1B,Existing,skin subcutaneous tissue defect staged local flapdivision,-34.970264,32.13667,0
5,SB704A,"ANKLE, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,ankle various lesion revision total joint replacement,-28.179844,-23.283712,0
39,SG818B,"BLADDER, VESICOSTOMY",3A,Existing,bladder vesicostomy,-11.732288,11.659349,0
53,SA800M,"MUCOUS MEMBRANE (EAR/NOSE/EYELID) AVULSION/COMPLEX LACERATION, FULL THICKNESS REPAIR",3A,Existing,mucous membrane earnoseeyelid avulsioncomplex laceration full thickness repair,47.590878,52.550297,0
346,SB804M,"MANDIBLE, FRACTURE (COMMINUTED), OPEN REDUCTION AND FIXATION",5C,Existing,mandible fracture comminuted open reduction fixation,4.490319,16.186508,0
69,SA705S,"SKIN, DEFECT, DISTANT SKIN FLAPS",4B,Existing,skin defect distant skin flap,-8.725438,4.147231,0
37,SK801B,"BRAIN, ACOUSTIC TUMOR/CEREBELLO-PONTINE ANGLE TUMOR, EXCISION, SIMPLE",7A,Existing,brain acoustic tumorcerebellopontine angle tumor excision simple,-6.6311216,-5.5025816,0
99,SI810U,"UTERUS, DISPLACED INTRAUTERINE CONTRACEPTIVE DEVICE, REMOVAL WITHOUT GENERAL ANAESTHESIA",MSP,Existing,uterus displaced intrauterine contraceptive device removal without general anaesthesia,16.920696,56.339275,0
42,SL711E,"EYELIDS, NON-INVOLUTIONAL ECTROPION/ ENTROPION, CORRECTION (BILATERAL)",4B,Existing,eyelid noninvolutional ectropion entropion correction bilateral,27.16524,-33.909214,0
159,SL703R,"RETINA, TRANS PARS PLANA POSTERIOR CAPSULECTOMY",3B,Existing,retina trans par plana posterior capsulectomy,-15.529596,-23.861837,0
347,SF808T,"TONGUE, TUMOR, TOTAL GLOSSECTOMY",4A,Existing,tongue tumor total glossectomy,-19.283607,18.304947,0
184,SA889S,"SOFT TISSUE, TUMOR (MALIGNANT), RADICAL EXCISION BIOPSY >7CM OTHER THAN UPPER/LOWER LIMBS",5C,Existing,soft tissue tumor malignant radical excision biopsy 7cm upperlower limb,-47.448128,-32.574768,0
138,SA842S,"SKIN AND  SUBCUTANEOUS TISSUE, LACERATIONS (DEEP >3CM/MULTIPLE) LACERATIONS, REPAIR/TOILET & SUTURE, WITH/WITHOUT DEBRIDEMENT",3B,Existing,skin subcutaneous tissue laceration deep 3cmmultiple laceration repairtoilet suture withwithout debridement,-25.379246,29.714474,0
73,SD831A,"ARTERY, OCCLUSION, REVASCULARIZATION WITH ADVANCED TECHNIQUES (SAFARI TECHNIQUE/RETROGRADE ACCESS/ LONG SEGMENT CHRONIC TOTAL OCCLUSION > 20 CM/ COMPLETE FOOT ARCH REVASCULARISATION/ DEEP VENOUS ARTERIALISATION)",5A,New,artery occlusion revascularization advanced technique safari techniqueretrograde access long segment chronic total occlusion 20 cm complete foot arch revascularisation deep venous arterialisation,-3.630728,4.364514,0
41,SC715T,"THORAX, EFFUSION/FLUID/ABSCESS COLLECTION, IMAGING GUIDED PERCUTANEOUS DRAINAGE CATHETER INSERTION",1C,Existing,thorax effusionfluidabscess collection imaging guided percutaneous drainage catheter insertion,2.5379286,30.37603,0
133,SA837S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA ON FACE, HANDS, GENITALIA, EXCISION",4A,Existing,skin subcutaneous tissue arteriovenous malformationhemangiomalymphangioma face hand genitalia excision,-26.852106,-45.46592,0
81,SA717S,"SOFT TISSUE (LOWER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY",5C,Existing,soft tissue lower limb tumor malignant radical excision biopsy,-32.995914,15.431969,0
195,SK703T,"INTERPLEURAL SPACE, BLOCK, CATHETER",1C,Existing,interpleural space block catheter,-32.91107,-20.061779,0
3,SC702B,"BRONCHUS/LUNG, TRANSBRONCHIAL NEEDLE ASPIRATION OF MEDIASTINAL LYMPH NODES, WITH OR WITHOUT ENDOBRONCHIAL ULTRASOUND (EBUS)",3A,Existing,bronchuslung transbronchial needle aspiration mediastinal lymph node without endobronchial ultrasound ebus,-19.815678,12.855641,0
342,SB800M,"MANDIBLE (EXCLUDING ALVEOLAR MARGINS), VARIOUS LESIONS, COMPLEX OSTEOTOMY/OSTECTOMY",6B,Existing,mandible excluding alveolar margin various lesion complex osteotomyostectomy,-32.922707,-54.963425,0
193,SD807V,"VEIN, VARICOSITY, HIGH LIGATION OF SHORT SAPHENOUS VEIN AT SAPHENO-POPLITEAL JUNCTION",3B,Existing,vein varicosity high ligation short saphenous vein saphenopopliteal junction,53.33183,-7.374729,0
129,SG831U,"URETHRA, VARIOUS LESIONS, URETHROTOMY",2C,Existing,urethra various lesion urethrotomy,-12.790228,6.4120917,0
157,SD700S,"SURFACE LESIONS, ANGIOSARCOMA, WITH BIOPSY",1B,Existing,surface lesion angiosarcoma biopsy,-0.9325134,-1.1691507,0
74,SL819E,"EYE, VARIOUS LESIONS, RETROBULAR INJECTION",MSP,Existing,eye various lesion retrobular injection,-16.576263,-5.5708985,0
166,SA871S,"SKIN, SCARS/LESIONS (MULTIPLE/BILATERAL), REMOVAL OF TISSUE EXPANDER/PROSTHESIS (INCLUDING BREAST IMPLANTS) AND REVISION/ EXCISION OF SCARS, UNILATERAL CAPSULECTOMY (AT LEAST 50%)4",3C,Descriptor change,skin scarslesions multiplebilateral removal tissue expanderprosthesis including breast implant revision excision scar unilateral capsulectomy least 504,39.798447,-1.4493184,0
49,SB821B,"BONE (UPPER LIMB), FRACTURE/DISLOCATION/SPRAIN, FULL CAST",MSP,Existing,bone upper limb fracturedislocationsprain full cast,27.207376,18.380686,0
254,SF801N,"NECK, BRANCHIAL FISTULA, REMOVAL",3B,Existing,neck branchial fistula removal,-9.64209,22.180998,0
247,SB713J,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, RECONSTRUCTION (BILATERAL)",7A,Existing,joint temporomandibular various lesion reconstruction bilateral,43.867947,-59.360123,0
8,SH703P,"PENIS, REMOVAL OF ""PENILE"" IMPLANT",3B,Existing,penis removal penile implant,-20.878376,-3.1372733,0
32,SD731A,"ARTERY, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLISATION OF MORE THAN 2 VESSELS",4B,Existing,artery various lesion percutaneous transcatheter embolisation 2 vessel,36.4871,-17.81164,0
281,SF811P,"PAROTID, CALCULUS (DEEP), REMOVAL",3A,Existing,parotid calculus deep removal,8.206139,35.048355,0
14,SI805C,"CERVIX, POLYP, EXCISION/EROSION (COMPLICATED) INCLUDES D&C WITH BIOPSY",2B,Existing,cervix polyp excisionerosion complicated includes dc biopsy,8.093577,-21.38236,0
98,SA802S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION WITH IMMEDIATE BLOCK DISSECTION",5A,Existing,skin subcutaneous tissue tumour malignant wide excision immediate block dissection,-40.31932,32.785686,0
64,SI700U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC (WITH GENERAL ANESTHESIA)",1C,Existing,uteruscervix hysteroscopy diagnostic general anesthesia,16.40208,-2.973953,0
50,SC724T,"TRACHEA/BRONCHUS, STRICTURE, IMAGING GUIDED STENT PLACEMENT",3A,Existing,tracheabronchus stricture imaging guided stent placement,17.799648,35.16106,0
538,SB810U,"UPPER LIMB/LOWER LIMB DEFORMITY AND LIMB LENGTH DEFORMITY, OSTEOTOMY/OSTEOTOMIES FOR ACUTE DEFORMITY CORRECTION AND USE OF INTRAMEDULLARY LENGTHENING NAIL DEVICE FOR GRADUAL LIMB LENGTHENING",6A,New,upper limblower limb deformity limb length deformity osteotomyosteotomies acute deformity correction use intramedullary lengthening nail device gradual limb lengthening,-38.957386,-0.6402847,0
80,SI717U,"UTERUS, LYSIS OF ASHERMAN'S (SIMPLE), HYSTEROSCOPIC",2C,Existing,uterus lysis ashermans simple hysteroscopic,12.3032255,-4.650689,0
143,SI713V,VAGINAL HYSTERECTOMY + ANTERIOR REPAIR +/- POSTERIOR REPAIR,5A,Uptable,vaginal hysterectomy anterior repair posterior repair,-25.748423,37.954952,0
103,SA807S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (LIMITED)",1A,Existing,skin subcutaneous tissue burn escharotomy limited,-1.6627322,16.950523,0
235,SB701J,"JOINTS (TEMPOROMANDIBULAR), VARIOUS LESIONS, ARTHROSCOPY (BILATERAL)",3B,Existing,joint temporomandibular various lesion arthroscopy bilateral,44.186134,-56.1153,0
75,SA711S,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MAJOR RELEASE",4A,Existing,soft tissue lower limb contracture major release,-38.74382,13.562627,0
378,SB836M,"MAXILLA, FRACTURE - LEFORT III, OPEN REDUCTION AND FIXATION",6B,Existing,maxilla fracture lefort iii open reduction fixation,-15.134546,-60.14854,0
145,SM703T,"TONSILS, ABSCESS, DRAINAGE",1A,Existing,tonsil abscess drainage,8.506079,7.798976,0
178,SI827V,"VULVA, IMPERFORATE HYMEN, HYMENECTOMY",1B,Existing,vulva imperforate hymen hymenectomy,-1.6953776,26.626547,0
153,SF700G,"GALLBLADDER, CHOLECYSTITIS, IMAGING GUIDED PERCUTANEOUS CHOLECYSTOSTOMY",2C,Existing,gallbladder cholecystitis imaging guided percutaneous cholecystostomy,21.180412,5.4826293,0
92,SD706H,"HEART, BIVENT AUTOMATIC IMPLANTABLE CARDIOVERTER DEFRIBRILLATOR (INCLUSIVE OF DFT)",5A,Existing,heart bivent automatic implantable cardioverter defribrillator inclusive dft,3.716523,-9.892159,0
249,SF821M,"MOUTH, SMALL SOFT TISSUE TUMOR, EXCISION BIOPSY < 3CM",1B,Existing,mouth small soft tissue tumor excision biopsy 3cm,-25.061583,16.671965,0
152,SL809O,"ORBIT, VARIOUS LESIONS, RECONSTRUCTION OF FLOOR/ROOF WITH BONE GRAFT",4B,Existing,orbit various lesion reconstruction floorroof bone graft,-17.671223,4.5178785,0
126,SL808L,"LENS, CATARACT, EXTRACTION WITH INTRA-OCULAR LENS IMPLANT (UNILATERAL LEFT)",4A,Existing,lens cataract extraction intraocular lens implant unilateral left,38.72265,-46.41017,0
88,SL835E,"EYELIDS, PTOSIS, CORRECTION WITH FASCIA LATA GRAFT (BILATERAL)",5B,Existing,eyelid ptosis correction fascia lata graft bilateral,14.46801,-30.188469,0
7,SC706B,"BRONCHUS/LUNG, BRONCHOSCOPY, TARGETED TRANSBRONCHIAL LUNG BIOPSY FOR FOCAL LESIONS (IMAGING-GUIDED)",2C,Existing,bronchuslung bronchoscopy targeted transbronchial lung biopsy focal lesion imagingguided,32.859432,-29.072733,0
163,SD705V,"VEIN, HEPATIC, PORTAL HYPERTENSION, DIAGNOSTIC HEPATIC VENOGRAPHY WITH OR WITHOUT PRESSURE MEASUREMENTS",2B,Existing,vein hepatic portal hypertension diagnostic hepatic venography without pressure measurement,10.2648325,1.7665529,0
189,SB800H,"HAND, AMPUTATED DIGIT(S), TOE TO HAND TRANSFER",7B,Existing,hand amputated digit toe hand transfer,-41.193604,21.928284,0
36,SB807B,"BONE (LOWER LIMB), OSTEOMYELITIS, SIMPLE DRAINAGE",2B,Existing,bone lower limb osteomyelitis simple drainage,19.654549,-3.9676108,0
14,SL705C,"CORNEA/CONJUNCTIVA, GUNDERSON FLAP",3B,Existing,corneaconjunctiva gunderson flap,-10.4240055,4.008428,0
68,SB802C,"CERVICAL SPINE, VARIOUS LESIONS - ANTERIOR DECOMPRESSION AND FUSION AND/OR DISC REPLACEMENT (2 SEGMENTS)",6B,Descriptor change,cervical spine various lesion anterior decompression fusion andor disc replacement 2 segment,35.70773,-55.279213,0
252,SF824M,"MOUTH, VARIOUS/PATHOLOGIC LESIONS OF ORAL MUCOSA, CRYOSURGICAL/LASER APPLICATION WITH BIOPSY",2B,Existing,mouth variouspathologic lesion oral mucosa cryosurgicallaser application biopsy,-7.817597,-41.71523,0
57,SH800T,"TESTIS, TUMOR, RETROPERITONEAL LYMPH NODE DISSECTION FOLLOWING ORCHIDECTOMY",5C,Existing,testis tumor retroperitoneal lymph node dissection following orchidectomy,-40.810356,-45.26586,0
118,SA822S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFT (SPLIT SKIN GRAFT/PINCH GRAFTS/CULTURED EPITHELIAL AUTOGRAFTS UNDER 1/2%)",1B,Descriptor change,skin subcutaneous tissue defect free graft split skin graftpinch graftscultured epithelial autograft 12,-52.244194,-49.506298,0
238,SB704J,"JOINTS (LOWER LIMB, HIP), SEPTIC ARTHRITIS, SIMPLE DRAINAGE",3A,Existing,joint lower limb hip septic arthritis simple drainage,26.132423,-41.428574,0
474,SB818S,"SPINE, VARIOUS LESIONS, SPINAL RHIZOLYSIS INVOLVING EXPOSURE OF SPINAL NERVE ROOTS",6B,Existing,spine various lesion spinal rhizolysis involving exposure spinal nerve root,-5.2926087,2.357391,0
50,SB822B,"BONE (UPPER LIMB), GRADE 1 AND 2 OPEN FRACTURES/OPEN DISLOCATION OR OPEN FRACTURE- DISLOCATION, WOUND DEBRIDEMENT",2B,Existing,bone upper limb grade 1 2 open fracturesopen dislocation open fracture dislocation wound debridement,-62.156303,0.44432646,0
150,SK726S,"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (EXTRADURAL)",6B,Existing,spinal cord tumour laminectomy excision extradural,-65.13284,-25.253952,0
10,SH705P,"PROSTATE GLAND, PROSTATE IMRT (INTENSITY MODULATED RADIATION THERAPY) GOLD SEEDS INSERTION",2C,Existing,prostate gland prostate imrt intensity modulated radiation therapy gold seed insertion,10.360151,-56.164803,0
146,SM704T,"TONSILS, HEMORRHAGE, HEMOSTASIS",1B,Existing,tonsil hemorrhage hemostasis,47.373627,23.547272,0
