S/N,Code,Description,Table,Classification
429,SB722S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITHOUT INSERTION OF INTERSPINOUS DEVICE (2 OR MORE SEGMENTS) WITHOUT
INSTRUMENTED FUSION",6B,Existing
430,SB723S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITHOUT INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6A,Existing
431,SB724S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (POSTERIOR APPROACH)",3B,Existing
432,SB725S,"SPINE, REMOVAL OR REVISION OF PORT E.G. PORT-A- CATH",MSP,Existing
433,SB726S,"SPINE, VARIOUS LESIONS, REVISION SURGERY, DECOMPRESSION AND/OR DISCECTOMY, WITHOUT INSTRUMENTATION",6A,Existing
434,SB728S,"SPINE, VARIOUS LESIONS, ANTERIOR DECOMPRESSION,
CORPECTOMY, DEBRIDEMENT, BIOPSY STABILISATION WITHOUT INSTRUMENTATION",6B,Existing
435,SB730S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, INTERBODY FUSION (SINGLE SEGMENT) WITH
ANTERIOR/POSTERIOR INSTRUMENTATION",7A,Existing
436,SB731S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (SINGLE SEGMENT) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6B,"Uptable, Descriptor
change,"
437,SB733S,"CERVICAL SPINE, VARIOUS LESIONS, ANTERIOR DECOMPRESSION AND FUSION AND/OR DISC REPLACEMENT (3 OR MORE SEGMENTS)",7A,Descriptor change
438,SB735S,"SPINE, DISCOGRAM (MORE THAN 2 LEVELS)",3A,Existing
439,SB736S,"SPINE, DISCOGRAM (1 TO 2 LEVELS)",2B,Existing
440,SB737S,"SPINE, PERCUTANEOUS DISC ABLATION, 2 OR MORE LEVELS (EG. IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4C,Existing
441,SB738S,"SPINE, PERCUTANEOUS DISC ABLATION, SINGLE LEVEL (EG IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4A,Existing
442,SB739S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (MULTIPLE LEVELS)",4C,Existing
443,SB740S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (SINGLE LEVEL)",4A,Existing
444,SB741S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (5 OR MORE SEGMENTS)
WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7C,"Uptable, Descriptor change,"
445,SB742S,"SCAPULA, COMPLEX SCAPULAR FRACTURE (WITH/WITHOUT GLENOHUMERAL JOINT INVOLVEMENT), OPEN REDUCTION AND INTERNAL FIXATION (ORIF)",5B,Existing
446,SB745S,"CERVICAL SPINE, CLOSED REDUCTION WITHOUT APPLICATION OF SKULL DEVICES OR OTHER PROCEDURES",MSP,Existing
447,SB746S,"CERVICAL SPINE, APPLICATION OF HALO DEVICE WITHOUT OTHER PROCEDURES",1A,Existing
448,SB747S,"SPINE, REMOVAL OF SPINE IMPLANTS WITHOUT OTHER PROCEDURES (ANTERIOR APPROACH)",4B,Existing
449,SB748S,"SPINE, INFECTION, POSTERIOR DRAINAGE AND
DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",3C,Existing
450,SB749S,"SPINE, INFECTION, POSTERIOR DRAINAGE, DEBRIDEMENT AND REMOVAL OF IMPLANTS, WITHOUT FUSION OR OTHER PROCEDURES",4B,Existing
451,SB750S,"SPINE, INFECTION, ANTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",4A,Existing
452,SB751S,"SPINE, INFECTION, ANTERIOR DRAINAGE, DEBRIDEMENT AND REMOVAL OF IMPLANTS WITHOUT FUSION OR OTHER PROCEDURES",4C,Existing
453,SB752S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (1 OR 2 SEGMENTS) WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7A,"Uptable, Descriptor change,"
454,SB753S,"SPINE, VARIOUS LESIONS - POSTERIOR INSTRUMENTATION (3 OR 4 SEGMENTS) WITH/WITHOUT DECOMPRESSION AND WITHOUT INTERBODY FUSION",7B,"Uptable, Descriptor change,"
455,SB754S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (TWO SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7B,Descriptor change
456,SB755S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (SINGLE
VERTEBRAE)",7A,Existing
457,SB756S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (TWO OR MORE VERTEBRA)",7B,Existing
458,SB757S,"SPINE, VARIOUS LESIONS, REVISION SURGERY, DECOMPRESSION AND/OR DISCECTOMY, WITH REVISION OF INSTRUMENTATION",6B,Existing
459,SB758S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS
DEVICE (2 OR MORE SEGMENTS) WITHOUT INSTRUMENTED FUSION",6C,Existing
460,SB759S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR
DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6B,Existing
461,SB760S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (THREE OR MORE SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7C,New
462,SB800S,"SHOULDER, DEFORMITIES, CORRECTIVE SURGERY, OSTEOTOMY",5C,Existing
463,SB801S,"SHOULDER, ACROMIOCLAVICULAR JOINT STABILISATION/RECONSTRUCTION",5B,Existing
464,SB802S,"SHOULDER, VARIOUS LESIONS, HEMIARTHROPLASTY",5C,Existing
465,SB803S,"SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION UNDER LOCAL ANESTHESIA",MSP,Existing
466,SB805S,"CERVICAL SPINE, VARIOUS LESIONS, LAMINOPLASTY (WITHOUT INSTRUMENTATION)",6B,Existing
467,SB806S,"CERVICAL SPINE, EXCISION OF CERVICAL RIB",4C,Existing
468,SB807S,"CERVICAL SPINE, CLOSED REDUCTION WITH
APPLICATION OF SKULL DEVICES BUT WITHOUT OTHER PROCEDURES",1A,Existing
469,SB808S,"SPINE, DEFORMITIES, THREE-COLUMN OSTEOTOMY (SUCH AS PSO, VCR, TOTAL SPONDYLECTOMY OR THEIR EQUIVALENT)",7C,Existing
470,SB810S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (TWO SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6C,"Uptable, Descriptor change,"
471,SB811S,"SPINE, PROLAPSED DISC, NUCLEOPLASTY",3C,Existing
472,SB819S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS
- INTERBODY FUSION (THREE OR MORE SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",7A,New
473,SB814S,"SPINE, SYRINGOMYELIA, LAMINECTOMY AND DRAINAGE",6B,Existing
474,SB818S,"SPINE, VARIOUS LESIONS, SPINAL RHIZOLYSIS INVOLVING EXPOSURE OF SPINAL NERVE ROOTS",6B,Existing
475,SB700T,"TENDON (UPPER LIMB/ LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (MULTIPLE)",5C,Descriptor change
476,SB701T,"TIBIA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATES AND SCREWS, COMMINUTED",5C,Existing
477,SB702T,"TIBIA, TIBIAL PLATEAU, COMMINUTED BICONDYLAR, ORIF",5B,Existing
478,SB703T,"TIBIA, TIBIAL PLATEAU, UNICONDYLAR COMMINUTED/SIMPLE BICONDYLAR, ORIF",5A,Existing
479,SB704T,"TIBIA, TIBIAL PLATEAU, UNICONDYLAR, ORIF",4B,Existing
480,SB705T,"TIBIA, TIBIAL SHAFT FRACTURE, INTRAMEDULLARY
NAILING (LOCKED/UNLOCKED)",4B,Existing
481,SB711T,"TIBIA, LENGTH DISCREPANCIES, GRADUAL LENGTHENING PROCEDURES WITH OSTEOTOMY AND INTRAMEDULLARY NAIL",5A,New
482,SB707T,"TOES, VARIOUS LESIONS, RAY AMPUTATION (TWO TO FOUR RAYS)",2C,Existing
483,SB708T,"TOES, VARIOUS LESIONS, RAY AMPUTATION (SINGLE)",1C,Existing
484,SB709T,"TOES, TOE DEFORMITY",1C,Existing
485,SB710T,"TOES, TOE DEFORMITY, MULTIPLE/COMPLEX",3B,Existing
486,SB800T,"TENDON (PERONEAL), SUBLUXATION, RECONSTRUCTION",4A,Existing
487,SB801T,"TENDON (UPPER LIMB), BOWSTRINGING/ENTRAPMENT, PULLEY RECONSTRUCTION",3B,Existing
488,SB802T,"TENDON (UPPER LIMB), CONTRACTURE, TENOTOMY",2C,Existing
489,SB803T,"TENDON (UPPER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE)",4A,Existing
490,SB804T,"TENDON SHEATH (UPPER LIMB), DE QUERVAIN'S (BILATERAL), RELEASE",3C,Existing
491,SB805T,"TENDON SHEATH (UPPER LIMB), DE QUERVAIN'S (UNILATERAL), RELEASE",3A,Existing
492,SB806T,"TENDON SHEATH (UPPER LIMB), GANGLION/VILLO- NODULAR SYNOVITIS, EXCISION",2B,Existing
493,SB807T,"TENDON SHEATH (UPPER LIMB), TENOSYNOVITIS
(MULTIPLE), DRAINAGE",3B,Existing
494,SB808T,"TENDON SHEATH (UPPER LIMB), TENOSYNOVITIS (SINGLE), DRAINAGE",2B,Existing
495,SB809T,"TENDON-ACHILLES (LOWER LIMB), DISRUPTION, REPAIR",3A,Existing
496,SB810T,"TENDON-EXTENSOR (UPPER LIMB), ADHESION,
TENOLYSIS (MULTIPLE)",5A,Existing
497,SB811T,"TENDON-EXTENSOR (UPPER LIMB), ADHESION, TENOLYSIS (SINGLE)",4A,Existing
498,SB812T,"TENDON-EXTENSOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)",3A,Existing
499,SB813T,"TENDON-EXTENSOR (UPPER LIMB), INJURY, REPAIR (SINGLE)",2C,Existing
500,SB814T,"TENDON-FLEXOR (LOWER LIMB), DISRUPTION, REPAIR (SINGLE)",2C,Existing
501,SB815T,"TENDON-FLEXOR (UPPER LIMB), ADHESION, TENOLYSIS (MULTIPLE)",5C,Existing
502,SB816T,"TENDON-FLEXOR (UPPER LIMB), ADHESION, TENOLYSIS (SINGLE)",4A,Existing
503,SB817T,"TENDON-FLEXOR (UPPER LIMB), DEFECT, GRAFTING (MULTIPLE)",6B,Existing
504,SB818T,"TENDON-FLEXOR (UPPER LIMB), DEFECT, GRAFTING
(SINGLE)",5C,Existing
505,SB819T,"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)",4B,Existing
506,SB820T,"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR
(SINGLE)",3B,Existing
507,SB821T,"TENDON-FLEXOR (UPPER LIMB), INJURY, TENDON GRAFT",4C,Existing
508,SB822T,"TENDONS-FLEXOR (LOWER LIMB), DISRUPTION, REPAIR (MULTIPLE)",3B,Existing
509,SB823T,"THUMB, DEFORMITIES, CORRECTION",4A,Existing
510,SB824T,"THUMB, PARALYSIS, OPPONENS PLASTY",4B,Existing
511,SB825T,"THUMB, VARIOUS LESIONS, POLLICISATION OR
MICROSURGICAL RECONSTRUCTION",6B,Existing
512,SB826T,"TIBIA, DELAYED/NON-UNION, RECONSTRUCTION",5C,Existing
513,SB827T,"TIBIA, FRACTURE(S), OPEN REDUCTION AND INTERNAL FIXATION WITH INTRAMEDULLARY ROD",4B,Existing
514,SB828T,"TIBIA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATES AND SCREWS, SIMPLE",5A,Existing
515,SB829T,"TOES, VARIOUS LESIONS, TOE AMPUTATION (TWO TO FOUR TOES)",2C,Existing
516,SB830T,"TOES, VARIOUS LESIONS, TOE AMPUTATION (SINGLE)",1C,Existing
517,SB831T,"TOES, VARIOUS LESIONS, ARTHRODESIS",2C,Existing
518,SB832T,"TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (MULTIPLE)",5A,Existing
519,SB833T,"TENDON, EXTENSOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)",4A,Existing
520,SB834T,"WEDGE RESECTION OF TOE NAIL (SINGLE TOE), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",1C,Existing
521,SB835T,"WEDGE RESECTION OF TOE NAIL (MULTIPLE TOES), MEDIAL AND/OR LATERAL, SIMPLE OR COMPLEX",2B,Existing
522,SB836T,"TENDON (LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE",4A,New
523,SB837T,"TENDON (LOWER LIMB), CONTRACTURE TENOTOMY, WITH/WITHOUT CAST APPLICATION",3A,New
524,SB701U,"UPPER LIMB/LOWER LIMB, MAJOR SOFT TISSUE
DEFECTS, FREE FLAP",7C,Existing
525,SB702U,"UPPER LIMB/LOWER LIMB, MAJOR SOFT TISSUE DEFECTS, PEDICLED FLAP",5C,Existing
526,SB703U,"UPPER LIMB/LOWER LIMB, MALIGNANT TUMOUR, SOFT
TISSUE, RADICAL EXCISION",5C,Existing
527,SB704U,"UPPER LIMB/LOWER LIMB, UPPER LIMB FRACTURES, MINIMALLY INVASIVE FIXATION",4B,Existing
528,SB800U,"UPPER LIMB, CONGENITAL DEFORMITY, MAJOR RECONSTRUCTION",6B,Existing
529,SB801U,"UPPER LIMB, DEFORMITY, BONY AND SOFT TISSUE RECONSTRUCTION",5C,Existing
530,SB802U,"UPPER LIMB, FRACTURE/DISLOCATION, MANIPULATION AND REDUCTION",1B,Existing
531,SB803U,"UPPER LIMB, ISCHEMIA, FASCIOTOMY",2B,Existing
532,SB804U,"UPPER LIMB, TRAUMA, MAJOR REPLANTATION",7B,Existing
533,SB805U,"UPPER LIMB, VARIOUS LESIONS, AMPUTATION",5C,Existing
534,SB806U,"UPPER LIMB, VARIOUS LESIONS, FOREQUARTER AMPUTATION",6B,Existing
535,SB807U,"UPPER LIMB, VARIOUS LESIONS, VASCULARISED FREE MUSCLE TRANSFER",7A,Existing
536,SB808U,"UPPER LIMB/LOWER LIMB, OPEN/CLOSED REDUCTION AND DEFINITIVE FIXATION WITH RING EXTERNAL
FIXATION WITH/WITHOUT WOUND DEBRIDEMENT",5A,New
537,SB809U,UPPER LIMB / LOWER LIMB RING EXTERNAL FIXATOR WITH GRADUAL DEFORMITY CORRECTION / LENGTHENING / SHORTENING / BONE TRANSPORT,6A,New
538,SB810U,"UPPER LIMB/LOWER LIMB DEFORMITY AND LIMB LENGTH DEFORMITY, OSTEOTOMY/OSTEOTOMIES FOR ACUTE DEFORMITY CORRECTION AND USE OF INTRAMEDULLARY LENGTHENING NAIL DEVICE FOR GRADUAL LIMB LENGTHENING",6A,New
539,SB700W,"WRIST, THERAPEUTIC ARTHROSCOPY",4A,Existing
540,SB701W,"WRIST, AVASCULAR NECROSIS, RADIAL
RECESSION/ULNAR LENGTHENING,",4C,Existing
541,SB702W,"WRIST, DISTAL OR RADIAL ULNAR JOINT (DRUJ) INSTABILITY, COMPLEX LIGAMENT RECONSTRUCTION",4B,Existing
542,SB703W,"WRIST, DISTAL OR RADIAL ULNAR JOINT (DRUJ) INSTABILITY, DARRACH OR SIMILAR PROCEDURE",3A,Existing
543,SB704W,"WRIST, DISTAL RADIUS FRACTURE, M&R, PERCUTANEOUS PINNING",3B,Existing
544,SB705W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (SIMPLE OPEN REDUCTION AND PINNING)",3C,Existing
545,SB706W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (COMPLEX, WITH AUTOLOGOUS BONE GRAFT)",4C,Existing
546,SB707W,"WRIST, DISTAL RADIUS FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) (WITH ULNAR
HEAD/STYLOID FIXATION/TFCC REPAIR)",4C,Existing
547,SB708W,"WRIST, JOINT, VARIOUS LESIONS, PROXIMAL ROW
CARPECTOMY OR 4 CORNER FUSION",5C,Existing
548,SB709W,"WRIST, LUNATE DISLOCATION/PERILUNATE DISLOCATION/COMPLEX LIGAMENT INJURY, RECONSTRUCTION",6B,Existing
549,SB710W,"WRIST, SCAPHOID FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION (ORIF) WITH BONE GRAFTING",4B,Existing
550,SB711W,"WRIST, SCAPHOID OR CARPUS, VASCULARISED BONE GRAFT",4C,Existing
551,SB712W,"WRIST, ULNAR HEAD/STYLOID FRACTURE, PERCUTANEOUS PINNING/FIXATION",2B,Existing
552,SB713W,"WRIST, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change
553,SB714W,"WRIST, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY",6A,Descriptor change
554,SB715W,"WRIST, VARIOUS LESIONS, REVISION TOTAL JOINT ARTHROPLASTY",6C,Descriptor change
555,SB800Z,"ZYGOMA, DOWN FRACTURE, OSTECTOMY/ARTICULAR
EMINECTOMY/AUGMENTATION",5C,Existing
556,SB801Z,"ZYGOMA, FRACTURE, ELEVATION",5A,Existing
